seed,comparison,left,right,role,target,audit_budget,selector,split,left_value,right_value,left_candidate,right_candidate,left_evidence_audit_budget,right_evidence_audit_budget,left_minus_right,signed_gain_left_minus_right
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,validation,1.21004844544999,1.2186974623907298,catchup,mlp_0,120,120,-0.008649016940739829,0.008649016940739829
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation,1.2101468107168447,1.2105411655838203,catchup,mlp_0,120,120,-0.0003943548669755881,0.0003943548669755881
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,validation_person_weighted,1.224391707162241,1.2254502911476692,catchup,mlp_0,120,120,-0.0010585839854282408,0.0010585839854282408
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,1.1930496379934576,1.1891142400070045,catchup,mlp_0,120,120,0.0039353979864531485,-0.0039353979864531485
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,validation,0.6668631978169091,0.6485073259638563,mlp_1,mlp_1,360,360,0.018355871853052763,-0.018355871853052763
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,development_evaluation,0.6696069975803753,0.6600600840568848,mlp_1,mlp_1,360,360,0.009546913523490574,-0.009546913523490574
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,validation_person_weighted,0.6720162950141548,0.6449864551514699,mlp_1,mlp_1,360,360,0.027029839862684923,-0.027029839862684923
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,development_evaluation_person_weighted,0.6721236961190401,0.6597375589928873,mlp_1,mlp_1,360,360,0.012386137126152774,-0.012386137126152774
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,validation,1.2482646458131634,1.2186974623907298,mlp_0,mlp_0,360,360,0.029567183422433585,-0.029567183422433585
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation,1.230163078164449,1.2105411655838203,mlp_0,mlp_0,360,360,0.01962191258062873,-0.01962191258062873
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,validation_person_weighted,1.2568039204852501,1.2254502911476692,mlp_0,mlp_0,360,360,0.0313536293375809,-0.0313536293375809
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,1.212260526629277,1.1891142400070045,mlp_0,mlp_0,360,360,0.02314628662227247,-0.02314628662227247
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,validation,0.6531150072785548,0.6485073259638563,catchup,mlp_1,360,360,0.004607681314698464,-0.004607681314698464
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,development_evaluation,0.6601121424332013,0.6600600840568848,catchup,mlp_1,360,360,5.2058376316499455e-05,-5.2058376316499455e-05
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,validation_person_weighted,0.6537004458637422,0.6449864551514699,catchup,mlp_1,360,360,0.008713990712272301,-0.008713990712272301
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,development_evaluation_person_weighted,0.6608655612686152,0.6597375589928873,catchup,mlp_1,360,360,0.0011280022757278463,-0.0011280022757278463
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,validation,1.21004844544999,1.2186974623907298,catchup,mlp_0,360,360,-0.008649016940739829,0.008649016940739829
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation,1.2101468107168447,1.2105411655838203,catchup,mlp_0,360,360,-0.0003943548669755881,0.0003943548669755881
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,validation_person_weighted,1.224391707162241,1.2254502911476692,catchup,mlp_0,360,360,-0.0010585839854282408,0.0010585839854282408
0,E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,1.1930496379934576,1.1891142400070045,catchup,mlp_0,360,360,0.0039353979864531485,-0.0039353979864531485
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,validation,0.519642330857293,0.5170596288375259,mlp,mlp,,,0.00258270201976718,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,development_evaluation,0.5036086558288742,0.5099661680778687,mlp,mlp,,,-0.006357512248994501,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,validation_person_weighted,0.4892789960087962,0.4825698967692093,mlp,mlp,,,0.006709099239586902,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,development_evaluation_person_weighted,0.48849519592349444,0.49334010619688873,mlp,mlp,,,-0.004844910273394287,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,validation,0.6816518788786295,0.6744378384941467,logistic,logistic,,,0.007214040384482812,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,development_evaluation,0.6899455101705462,0.6892411862109864,logistic,logistic,,,0.0007043239595597717,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,validation_person_weighted,0.684400099254698,0.6744348960186568,logistic,logistic,,,0.00996520323604122,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,0.6900092131561977,0.6910628880378022,logistic,logistic,,,-0.0010536748816045716,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,validation,0.2932679347930651,0.2961533399507798,logistic,logistic,,,-0.002885405157714682,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,development_evaluation,0.29514467962027563,0.29272248680166524,logistic,logistic,,,0.0024221928186103914,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,validation_person_weighted,0.2763312170821294,0.2804688644604771,logistic,logistic,,,-0.004137647378347709,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,development_evaluation_person_weighted,0.30269682793217934,0.30195960974081804,logistic,logistic,,,0.0007372181913612996,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,validation,0.3118392461383446,0.30472458606540453,logistic,mlp,,,0.007114660072940038,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation,0.2830453873050615,0.28229027570806753,logistic,mlp,,,0.0007551115969939848,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,validation_person_weighted,0.3062508932121273,0.3031194990858402,logistic,mlp,,,0.0031313941262871015,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,0.26678370020444564,0.26729059140909567,logistic,mlp,,,-0.0005068912046500285,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,validation,0.4890479354287013,0.4894457635560488,logistic,logistic,,,-0.0003978281273475104,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,development_evaluation,0.5108445715411966,0.5089472723750109,logistic,logistic,,,0.0018972991661856398,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,validation_person_weighted,0.5059000190157715,0.5056500880476194,logistic,logistic,,,0.00024993096815217886,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,0.5193759932322496,0.5196005087033891,logistic,logistic,,,-0.0002245154711395525,
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,validation,0.6668631978169091,0.6593866346613602,mlp_1,mlp_0,120,120,0.007476563155548899,-0.007476563155548899
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,development_evaluation,0.6696069975803753,0.6715240979832063,mlp_1,mlp_0,120,120,-0.0019171004028309957,0.0019171004028309957
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,validation_person_weighted,0.6720162950141548,0.6538346180385255,mlp_1,mlp_0,120,120,0.018181676975629335,-0.018181676975629335
