unit,seed,stage,point,diagnostic_scope,coefficients,protection_available,raw_protection_definition,protection_absence_reason,cosine_zero_policy,source_loss,reconstruction_mse,preservation_loss,normalized_adversary_ce,source_raw_mapper_l2,teacher_raw_mapper_l2,reconstruction_raw_mapper_l2,protection_raw_mapper_l2,teacher_reconstruction_raw_dot,teacher_reconstruction_raw_cosine,teacher_protection_raw_dot,teacher_protection_raw_cosine,source_protection_raw_dot,source_protection_raw_cosine,source_applied_mapper_l2,teacher_applied_mapper_l2,reconstruction_applied_mapper_l2,protection_applied_mapper_l2,teacher_reconstruction_applied_dot,teacher_reconstruction_applied_cosine,teacher_protection_applied_dot,teacher_protection_applied_cosine,source_protection_applied_dot,source_protection_applied_cosine,training_state_unchanged,torch_rng_unchanged,optimizer_steps,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,preservation_coefficient,protection_coefficient,base_mapper_l2,protection_mapper_l2,applied_protection_mapper_l2,preservation_mapper_l2,applied_preservation_mapper_l2,protection_observer_basis,hypothetical_preobserver_warmup,diagnostic_observer_state_sha256
R_rho0,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.6965600848197937,0.980240523815155,1.5287007110073277e-15,1.3740801811218262,0.3163543939590454,3.178401186687552e-08,0.08660498261451721,0.06335291266441345,1.589830350701149e-11,0.005775627699720607,-1.7894449810818003e-11,-0.00888675176854733,-0.0020154397934675217,-0.10056095099598605,0.3163543939590454,3.178401186687552e-08,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.3163543939590454,0.006335291266441345,0.0,3.178401186687552e-08,3.178401186687552e-08,disposable original initialization,True,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
R_rho0,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3643307685852051,0.9811286926269531,0.013636654242873192,1.374639630317688,0.19504159688949585,0.16026613116264343,0.08621516078710556,0.06778238713741302,0.0003167374525219202,0.022923135618674133,0.0006892494857311249,0.06344798555265556,-0.0011395897017791867,-0.08619943362791076,0.19504159688949585,0.16026613116264343,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.19504159688949585,0.006778238713741303,0.0,0.16026613116264343,0.16026613116264343,disposable original initialization,True,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
R_rho0,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3643307685852051,0.9811286926269531,0.013636654242873192,0.9054480791091919,0.19504159688949585,0.16026613116264343,0.08621516078710556,0.2854040265083313,0.0003167374525219202,0.022923135618674133,-0.007014963775873184,-0.15336405527548855,0.006863063666969538,0.12329080488552983,0.19504159688949585,0.16026613116264343,0.0,0.02854040078818798,0.0,,0.0007014963775873184,0.1533640652845566,-0.0006863063899800181,-0.12329081711457622,True,True,0,True,1.0,0.0,1.0,-0.1,0.19504159688949585,0.02854040265083313,0.02854040078818798,0.16026613116264343,0.16026613116264343,actual current observers,False,6eeb7098516c6274983df3299f03a9b3805abe89ba4783fedab98711e104350b
R_rho0,0,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3643307685852051,0.9811286926269531,0.013636654242873192,0.9054480791091919,0.19504159688949585,0.16026613116264343,0.08621516078710556,0.2854040265083313,0.0003167374525219202,0.022923135618674133,-0.007014963775873184,-0.15336405527548855,0.006863063666969538,0.12329080488552983,0.19504159688949585,0.16026613116264343,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.19504159688949585,0.02854040265083313,0.0,0.16026613116264343,0.16026613116264343,actual current observers,False,6eeb7098516c6274983df3299f03a9b3805abe89ba4783fedab98711e104350b
R_rho0,0,C,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.34706971049308777,0.9803087711334229,0.009230591356754303,0.8401476144790649,0.2796221077442169,0.12395079433917999,0.08439094573259354,0.8512183427810669,-0.00018824631115421653,-0.017996220528395755,-0.007655818946659565,-0.07256068372101115,-0.004236464388668537,-0.017798814690391938,0.2796221077442169,0.12395079433917999,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.2796221077442169,0.0851218342781067,0.0,0.12395079433917999,0.12395079433917999,actual current observers,False,82f0984b0aaa4cd7382949d7a7fa2c40622e8e20637e91b43003ab838c081035
R_rho0,0,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3643307685852051,0.9811286926269531,0.013636654242873192,0.9054480791091919,0.19504159688949585,0.16026613116264343,0.08621516078710556,0.2854040265083313,0.0003167374525219202,0.022923135618674133,-0.007014963775873184,-0.15336405527548855,0.006863063666969538,0.12329080488552983,0.19504159688949585,0.16026613116264343,0.0,0.02854040078818798,0.0,,0.0007014963775873184,0.1533640652845566,-0.0006863063899800181,-0.12329081711457622,True,True,0,True,1.0,0.0,1.0,-0.1,0.19504159688949585,0.02854040265083313,0.02854040078818798,0.16026613116264343,0.16026613116264343,actual current observers,False,6eeb7098516c6274983df3299f03a9b3805abe89ba4783fedab98711e104350b
R_rho0,0,D,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3465312719345093,0.9801440834999084,0.009991146624088287,0.8414548635482788,0.2774514853954315,0.1625138819217682,0.08292003720998764,0.821656346321106,-0.0014766213716939092,-0.10957694728956832,-0.015829961746931076,-0.11854935272437885,-0.003512335941195488,-0.015407024725646019,0.2774514853954315,0.1625138819217682,0.0,0.08216563612222672,0.0,,0.0015829962212592363,0.1185493540617264,0.0003512335824780166,0.015407023935570486,True,True,0,True,1.0,0.0,1.0,-0.1,0.2774514853954315,0.0821656346321106,0.08216563612222672,0.1625138819217682,0.1625138819217682,actual current observers,False,5aeb920d707280afeccd761816e6dc98299f1f139158c397e71645a7a7a12cad
R_rho0,1,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.7023024559020996,1.0667866468429565,1.4696623028254661e-15,1.3523070812225342,0.28667011857032776,2.9076636209879325e-08,0.08062081784009933,0.042661238461732864,1.3210720711809287e-11,0.005635534968635916,3.3801458160231945e-11,0.027249454579002297,0.0026137661188840866,0.21372279204293185,0.28667011857032776,2.9076636209879325e-08,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.28667011857032776,0.004266123846173287,0.0,2.9076636209879325e-08,2.9076636209879325e-08,disposable original initialization,True,461a93d1af3d235cfdb1a278b996a814d1fa027de682e23dae6fc3211ef2158a
R_rho0,1,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.365849107503891,1.0667486190795898,0.012478144839406013,1.3509900569915771,0.185069739818573,0.14818882942199707,0.07859901338815689,0.04643410071730614,0.0010895748855546117,0.09354584928923837,-0.002160949632525444,-0.31404518416658006,0.00016090423741843551,0.018723844597658836,0.185069739818573,0.14818882942199707,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.185069739818573,0.004643410071730614,0.0,0.14818882942199707,0.14818882942199707,disposable original initialization,True,461a93d1af3d235cfdb1a278b996a814d1fa027de682e23dae6fc3211ef2158a
R_rho0,1,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.365849107503891,1.0667486190795898,0.012478144839406013,0.9300244450569153,0.185069739818573,0.14818882942199707,0.07859901338815689,0.3465190827846527,0.0010895748855546117,0.09354584928923837,0.0026562344282865524,0.05172777256678779,0.007294922601431608,0.11375175814740426,0.185069739818573,0.14818882942199707,0.0,0.03465191647410393,0.0,,-0.00026562344282865524,-0.05172776033248228,-0.0007294922834262252,-0.11375173487419422,True,True,0,True,1.0,0.0,1.0,-0.1,0.185069739818573,0.034651908278465274,0.03465191647410393,0.14818882942199707,0.14818882942199707,actual current observers,False,550aa993170761f57710837a4bdbb6d8075a7398873a93224a80bec9bd426321
