seed,release,target,split,audit_budget,saved_loss,saved_candidate,fresh_loss,fresh_candidate,catchup_loss,catchup_candidate,pooled_loss,pooled_candidate
0,R_rho0p1_C,SEX,validation,120,0.6838503209053505,saved_adversary,0.6485073259638563,mlp_1,0.663501430678553,catchup,0.6485073259638563,mlp_1
0,R_rho0p1_C,SEX,validation,360,0.6838503209053505,saved_adversary,0.6485073259638563,mlp_1,0.663501430678553,catchup,0.6485073259638563,mlp_1
0,R_rho0p1_C,SEX,development_evaluation,120,0.6903549400760464,saved_adversary,0.6600600840568848,mlp_1,0.6698536028212845,catchup,0.6600600840568848,mlp_1
0,R_rho0p1_C,SEX,development_evaluation,360,0.6903549400760464,saved_adversary,0.6600600840568848,mlp_1,0.6698536028212845,catchup,0.6600600840568848,mlp_1
0,R_rho0p1_C,SEX,validation_person_weighted,120,0.6789365993926108,saved_adversary,0.6449864551514699,mlp_1,0.6621244070277893,catchup,0.6449864551514699,mlp_1
0,R_rho0p1_C,SEX,validation_person_weighted,360,0.6789365993926108,saved_adversary,0.6449864551514699,mlp_1,0.6621244070277893,catchup,0.6449864551514699,mlp_1
0,R_rho0p1_C,SEX,development_evaluation_person_weighted,120,0.6853382755099899,saved_adversary,0.6597375589928873,mlp_1,0.6675511851973469,catchup,0.6597375589928873,mlp_1
0,R_rho0p1_C,SEX,development_evaluation_person_weighted,360,0.6853382755099899,saved_adversary,0.6597375589928873,mlp_1,0.6675511851973469,catchup,0.6597375589928873,mlp_1
0,R_rho0p1_C,RAC1P,validation,120,1.2289009973539742,saved_adversary,1.2186974623907298,mlp_0,1.2211681724242618,catchup,1.2186974623907298,mlp_0
0,R_rho0p1_C,RAC1P,validation,360,1.2289009973539742,saved_adversary,1.2186974623907298,mlp_0,1.2211681724242618,catchup,1.2186974623907298,mlp_0
0,R_rho0p1_C,RAC1P,development_evaluation,120,1.2383737532208086,saved_adversary,1.2105411655838203,mlp_0,1.227749559339251,catchup,1.2105411655838203,mlp_0
0,R_rho0p1_C,RAC1P,development_evaluation,360,1.2383737532208086,saved_adversary,1.2105411655838203,mlp_0,1.227749559339251,catchup,1.2105411655838203,mlp_0
