comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,validation,3,3,True,0.001234766400075804,0.0020128004478207045,"{""0"":0.0028532403997811318,""1"":0.0018700957977818011,""2"":-0.0010190369973355207}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,validation,3,3,True,-0.0006249160728733679,0.0006740586127269277,"{""0"":-0.0009459070944246029,""1"":0.00014964668703215667,""2"":-0.0010784878112276575}"
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.0066664590935307895,0.005304686308171269,"{""0"":0.0018559967416182377,""1"":0.012355633904619023,""2"":0.0057877466343551065}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.004941864905443942,0.0024062493656510724,"{""0"":0.0038534737956140708,""1"":0.007700013848244147,""2"":0.0032721070724736068}"
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.0038730400860051417,0.002672925709111223,"{""0"":0.0060832910451898425,""1"":0.004633557892117501,""2"":0.0009022713207080812}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.0010257172889436283,0.0005892420119210697,"{""0"":0.0017044260579353043,""1"":0.0007278593354165253,""2"":0.0006448664734790555}"
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.0062833447348451905,0.0029277307525895913,"{""0"":0.0031592289445778188,""1"":0.008964121878231257,""2"":0.006726683381726495}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.004854131345130537,0.001193182112083329,"{""0"":0.004266087832019538,""1"":0.006227197666387463,""2"":0.004069108536984611}"
E_reconstruction_interaction_vs_R,R,C,transfer,public_coverage,,primary,validation,3,3,True,0.0013050238991195728,0.002450712606596037,"{""0"":0.0014698636888473282,""1"":0.0036691552836938812,""2"":-0.001223947275182491}"
E_reconstruction_interaction_vs_S,S,C,transfer,public_coverage,,primary,validation,3,3,True,0.0025186294481274927,0.002393989693205742,"{""0"":0.004058903242660561,""1"":0.0037364196444892306,""2"":-0.0002394345427673139}"
E_reconstruction_interaction_vs_R,R,C,transfer,public_coverage,,primary,development_evaluation,3,3,True,-0.0015155273768325632,0.0009334180896134502,"{""0"":-0.0013491802915971407,""1"":-0.0006764667759471821,""2"":-0.0025209350629533667}"
E_reconstruction_interaction_vs_S,S,C,transfer,public_coverage,,primary,development_evaluation,3,3,True,0.0016038071534370164,0.001118183290373645,"{""0"":0.0006741316038095801,""1"":0.0012926865529563347,""2"":0.0028446033035451346}"
E_reconstruction_interaction_vs_R,R,C,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,0.00229867878706963,0.001977631269594851,"{""0"":0.0002543158964690706,""1"":0.004202030316480143,""2"":0.0024396901482596767}"
E_reconstruction_interaction_vs_S,S,C,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,0.004010923041663728,0.0026030167423840346,"{""0"":0.006410698123648362,""1"":0.004378359917646346,""2"":0.0012437110836964749}"
E_reconstruction_interaction_vs_R,R,C,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,-0.0019553912923946,0.0027910770793803997,"{""0"":-0.0015596235176384976,""1"":0.0006166773765703404,""2"":-0.004923227736115643}"
E_reconstruction_interaction_vs_S,S,C,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,0.0039046555291541996,0.0022016797478911633,"{""0"":0.0014580378140575112,""1"":0.005726245281772235,""2"":0.004529683491632852}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,primary,validation,3,3,True,0.0026255393972327568,0.002665141183930219,"{""0"":-8.193767631026194e-05,""1"":0.005246224441343927,""2"":0.002712331426664605}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,primary,validation,3,3,True,0.0008199934396094047,0.004680339462435278,"{""0"":-0.0001686669745367686,""1"":0.005915681101038128,""2"":-0.0032870338076731453}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,primary,development_evaluation,3,3,True,0.007458392112189609,0.0026391275065073697,"{""0"":0.008157731933615575,""1"":0.00967741581034276,""2"":0.00454002859261049}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,primary,development_evaluation,3,3,True,0.005972400824472183,0.0055770901125829775,"{""0"":0.009673584809310909,""1"":0.008685783191824226,""2"":-0.0004421655277185854}"
