seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc,prior_log_loss,prior_relative_attribute_gain
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6756204188945129,1e-12,0.5670362903225806,0.5680064039033315,0.5680064039033315,0.6005219689461513,0.6005219689461514,0.6005219689461514,,
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.6891600475693038,1e-12,0.5520040588533739,0.5492087648942616,0.5492087648942616,0.5690947421350467,0.5690947421350467,0.5690947421350467,,
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation_person_weighted,1984,2,"[0,1]",True,233729.0,"[1009,975]","[118499.0,115230.0]","[0.5069931416298362,0.4930068583701637]",True,True,"[true,true]",0.6746610665314641,1e-12,0.5720128867192347,0.5727897531712036,0.5727897531712036,0.6038865916196924,0.6038865916196924,0.6038865916196924,,
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation_person_weighted,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.6885424918765136,1e-12,0.5594678460920499,0.5563899668605681,0.5563899668605681,0.5698490642545642,0.5698490642545642,0.5698490642545642,,
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.28871848096541824,1e-12,0.8682975871313673,0.7524994397549862,0.7524994397549862,0.905685366400239,0.905685366400239,0.905685366400239,,
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.2975958764411295,1e-12,0.864185110663984,0.7301482130843409,0.7301482130843409,0.8962576366095152,0.8962576366095152,0.8962576366095152,,
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2434,550]","[288007.0,60383.0]","[0.8266798702603404,0.17332012973965957]",True,True,"[true,true]",0.2748448934503336,1e-12,0.8745716007922156,0.739990725750398,0.739990725750398,0.9095943216267259,0.9095943216267259,0.9095943216267259,,
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2439,543]","[273575.0,60566.0]","[0.8187411900963965,0.18125880990360357]",True,True,"[true,true]",0.306137558171244,1e-12,0.8593497954456353,0.7142075296592395,0.7142075296592395,0.8879119911356536,0.8879119911356536,0.8879119911356536,,
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.2943628427848379,1e-12,0.8615951742627346,0.7490946440576679,0.7490946440576679,0.9017221931724807,0.9017223799208187,0.9017223799208187,,
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.30330156117196416,1e-12,0.8645204560697518,0.7468168051846265,0.7468168051846265,0.8925675997091462,0.89256797724515,0.89256797724515,,
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2434,550]","[288007.0,60383.0]","[0.8266798702603404,0.17332012973965957]",True,True,"[true,true]",0.27858910859494224,1e-12,0.8709607049570883,0.7437883393988348,0.7437883393988348,0.9068175769060607,0.9068176416388358,0.9068176416388358,,
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2439,543]","[273575.0,60566.0]","[0.8187411900963965,0.18125880990360357]",True,True,"[true,true]",0.3140757524152111,1e-12,0.8559141200870292,0.7277482330176456,0.7277482330176456,0.8827578100869169,0.8827585581551816,0.8827585581551816,,
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[981,2003]","[981.0,2003.0]","[0.32875335120643434,0.6712466487935657]",True,True,"[true,true]",0.3080870104212844,1e-12,0.892426273458445,0.8449733656396139,0.8449733656396139,0.8781081690410358,0.8781081690410358,0.8781081690410358,,
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[972,2010]","[972.0,2010.0]","[0.32595573440643866,0.6740442655935613]",True,True,"[true,true]",0.2777983519696872,1e-12,0.9057679409792085,0.8636877341686628,0.8636877341686628,0.8982459103658662,0.8982459103658662,0.8982459103658662,,
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[981,2003]","[112512.0,235878.0]","[0.3229484198742788,0.6770515801257212]",True,True,"[true,true]",0.30347812199391283,1e-12,0.8957662389850455,0.8455385682671411,0.8455385682671411,0.8732119776065688,0.8732119776065688,0.8732119776065688,,
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[972,2010]","[100734.0,233407.0]","[0.3014715344719744,0.6985284655280256]",True,True,"[true,true]",0.2618843835507288,1e-12,0.9169392561822703,0.8696613966894333,0.8696613966894333,0.897781973770731,0.8977819737707311,0.8977819737707311,,
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[981,2003]","[981.0,2003.0]","[0.32875335120643434,0.6712466487935657]",True,True,"[true,true]",0.30238335904474206,1e-12,0.892426273458445,0.845233424073879,0.845233424073879,0.8824889576949559,0.8824889576949559,0.8824889576949559,,
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[972,2010]","[972.0,2010.0]","[0.32595573440643866,0.6740442655935613]",True,True,"[true,true]",0.2721275102164472,1e-12,0.9081153588195842,0.8664916159941036,0.8664916159941036,0.9014331634011016,0.9014331634011015,0.9014331634011015,,
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[981,2003]","[112512.0,235878.0]","[0.3229484198742788,0.6770515801257212]",True,True,"[true,true]",0.2978359580407152,1e-12,0.8963948448577743,0.8461120301337951,0.8461120301337951,0.8778193589983093,0.8778193589983092,0.8778193589983092,,
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[972,2010]","[100734.0,233407.0]","[0.3014715344719744,0.6985284655280256]",True,True,"[true,true]",0.2567672444161224,1e-12,0.9196357226440335,0.8716366437988806,0.8716366437988806,0.9004451760831891,0.9004451760831891,0.9004451760831891,,
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[2275,709]","[2275.0,709.0]","[0.7623994638069705,0.23760053619302948]",True,True,"[true,true]",0.48558560038834675,1e-12,0.7815013404825737,0.5911684930020614,0.5911684930020614,0.7275816426169035,0.7275816426169035,0.7275816426169035,,
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2199,783]","[2199.0,783.0]","[0.7374245472837022,0.2625754527162978]",True,True,"[true,true]",0.5089767200302174,1e-12,0.7545271629778671,0.5839662403147373,0.5839662403147373,0.7319462521278394,0.7319462521278394,0.7319462521278394,,
