seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters,checkpoint_criterion,selection,audit_kind,provided_attacker_fit_rows,provided_attacker_fit_support,preprocessing,preprocessing_fit_rows,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256
0,audit,C_bottleneck,SEX,hist_gb_20,histgb,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,,,0,150,,,,,,,,,0.08001150004565716,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,SEX,hist_gb_5,histgb,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,,,0,150,,,,,,,,,0.08311025006696582,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,5,60,1440,,359160,120,120,,2000000,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,"minimum attacker-validation log loss, then earliest epoch; no evaluation data",catchup,2993,"[1512,1481]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,C_bottleneck,SEX,saved_adversary,saved_adversary,E_pca,False,False,True,False,False,True,0,,,False,0,0,0,,0,,,,,,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,unchanged saved adversary; no fitting or validation selection,saved,2993,"[1512,1481]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,C_bottleneck,RAC1P,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,100,,,,,,,,,,0.02618895808700472,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,35,420,1440,,359160,120,120,1260001,1960001,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,0,0,0.43634704197756946,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,RAC1P,mlp_1,mlp,E_pca,False,False,True,False,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,30,360,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.40274599997792393,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,RAC1P,hist_gb_20,histgb,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,0,150,,,,,,,,,0.6149450000375509,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,RAC1P,hist_gb_5,histgb,E_pca,False,False,True,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,0,150,,,,,,,,,0.6614609999815002,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,C_bottleneck,RAC1P,catchup,catchup,E_pca,False,True,True,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,5,60,1440,,359160,120,120,,2000001,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,"minimum attacker-validation log loss, then earliest epoch; no evaluation data",catchup,2993,"[1704,173,17,0,4,461,22,424,188]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
