seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures,validation_auroc,validation_coverage_complete
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,5,40,0.5069534143561666,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,10,80,0.49070280180774123,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,15,120,0.4865768344118285,True,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,20,160,0.4894232454552459,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,25,200,0.4897482676005519,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,30,240,0.49239920160788997,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,35,280,0.4948097983450957,False,320,81920,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,40,320,0.49542923097174035,False,320,81920,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,0,0,0.6895797692278577,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,5,60,0.6657092068618213,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,10,120,0.6630894355275826,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,15,180,0.6620763495371385,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,20,240,0.6609727152673243,True,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,25,300,0.6624436817824318,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,30,360,0.6625275890588973,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,35,420,0.6643067252655251,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,40,480,0.6658750914376479,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,45,540,0.6689800970653125,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,50,600,0.6683734329658783,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,55,660,0.6715111949356589,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,60,720,0.6751079072392377,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,65,780,0.679831005209822,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,70,840,0.6766056023652978,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,75,900,0.6795604960933485,False,1440,359160,,
