interface,endpoint,weight,common_fresh_additional,transport_all_additional,difference_transport_minus_fresh
A0,A/SEX,unweighted,0.032518120850643,0.0275577994513217,-0.004960321399321298
A0,A/SEX,person_weighted,0.0284313945729921,0.0250248779516355,-0.0034065166213566
A0,AB/SEX,unweighted,0.0312352400058752,0.025117360280726,-0.006117879725149201
A0,AB/SEX,person_weighted,0.0284248787788746,0.0241060215969626,-0.004318857181912002
A0,A/RAC1P,unweighted,0.0632431334617389,0.0653177986251878,0.0020746651634488966
A0,A/RAC1P,person_weighted,0.0605847354634114,0.0606682685644487,8.353310103730027e-05
A0,AB/RAC1P,unweighted,0.0564411473473841,0.0535623433802647,-0.0028788039671193977
A0,AB/RAC1P,person_weighted,0.0526872317383639,0.0503186653100738,-0.0023685664282901003
E,A/SEX,unweighted,0.0184303280541026,0.016389605359367,-0.0020407226947356007
E,A/SEX,person_weighted,0.0161894028511632,0.0168344898116257,0.0006450869604624973
E,AB/SEX,unweighted,0.0160958106221508,0.0157861177825699,-0.00030969283958090163
E,AB/SEX,person_weighted,0.0145725311343856,0.0160088894150773,0.0014363582806917012
E,A/RAC1P,unweighted,0.047346182524824,0.0628873769284676,0.015541194403643606
E,A/RAC1P,person_weighted,0.0421401013665187,0.0584237947313421,0.016283693364823403
E,AB/RAC1P,unweighted,0.0371444562075435,0.053719123332767,0.0165746671252235
E,AB/RAC1P,person_weighted,0.0336024354982731,0.0489212991810844,0.015318863682811296
H,A/SEX,unweighted,0.0,0.0,0.0
H,A/SEX,person_weighted,0.0,0.0,0.0
H,AB/SEX,unweighted,0.0,0.0,0.0
H,AB/SEX,person_weighted,0.0,0.0,0.0
H,A/RAC1P,unweighted,0.0,0.0,0.0
H,A/RAC1P,person_weighted,0.0,0.0,0.0
H,AB/RAC1P,unweighted,0.0,0.0,0.0
H,AB/RAC1P,person_weighted,0.0,0.0,0.0
J,A/SEX,unweighted,0.0013074928692552,-0.0009493921823415,-0.0022568850515967
J,A/SEX,person_weighted,-0.0014207989074804,-0.0032805547846187,-0.0018597558771383
J,AB/SEX,unweighted,0.006927085607473,0.0017142651365384,-0.0052128204709346
J,AB/SEX,person_weighted,0.0038203558567193,0.0003337155038998,-0.0034866403528195002
J,A/RAC1P,unweighted,0.0039060840179055,0.0076083973061815,0.0037023132882759995
J,A/RAC1P,person_weighted,0.001868473196305,0.0054953336251507,0.0036268604288457003
J,AB/RAC1P,unweighted,0.0015300929761821,0.0074679883878439,0.0059378954116618005
J,AB/RAC1P,person_weighted,-0.000124910613297,0.0063538426364976,0.006478753249794599
L025,A/SEX,unweighted,0.002639361266432,0.0009518900499488,-0.0016874712164832
L025,A/SEX,person_weighted,0.0006625420356211,-0.0005279318190269,-0.001190473854648
L025,AB/SEX,unweighted,0.0078960928040471,0.0060025972348959,-0.0018934955691512004
L025,AB/SEX,person_weighted,0.0040758978545399,0.0032934857430945,-0.0007824121114453999
L025,A/RAC1P,unweighted,0.0057275076164635,0.0093499215136519,0.0036224138971883996
L025,A/RAC1P,person_weighted,0.0052938493545596,0.0083656355621029,0.0030717862075433
L025,AB/RAC1P,unweighted,0.0040317326226175,0.0120921616726702,0.008060429050052699
L025,AB/RAC1P,person_weighted,0.0023297683661707,0.0123499574451952,0.010020189079024501
L20,A/SEX,unweighted,0.0051042691051705,0.0014981547191721,-0.0036061143859983996
L20,A/SEX,person_weighted,0.0014992687320446,-0.0008180581518169,-0.0023173268838615002
L20,AB/SEX,unweighted,0.0065765327636574,0.0088318084486117,0.0022552756849543
L20,AB/SEX,person_weighted,0.0031447364109978,0.0064403764533375,0.0032956400423396997
L20,A/RAC1P,unweighted,0.001074860649607,0.0082662239286768,0.0071913632790697995
L20,A/RAC1P,person_weighted,-0.0001836673295678,0.0086284676103341,0.0088121349399019
L20,AB/RAC1P,unweighted,0.0038890537460606,0.0168315994499475,0.012942545703886898
L20,AB/RAC1P,person_weighted,0.002929904672123,0.0135153280434274,0.0105854233713044
spectral_C025,A/SEX,unweighted,0.0239619858300213,0.0190016644306999,-0.004960321399321399
spectral_C025,A/SEX,person_weighted,0.0229687277516429,0.0195622111302863,-0.0034065166213566
spectral_C025,AB/SEX,unweighted,0.0220633083233136,0.0159454285981645,-0.006117879725149097
spectral_C025,AB/SEX,person_weighted,0.0221539281511033,0.0178350709691914,-0.004318857181911901
spectral_C025,A/RAC1P,unweighted,0.0610113512895453,0.0591919338073094,-0.0018194174822359008
spectral_C025,A/RAC1P,person_weighted,0.055448501785476,0.0539606070257479,-0.0014878947597281034
spectral_C025,AB/RAC1P,unweighted,0.0535548732027138,0.0501076647004029,-0.0034472085023109014
spectral_C025,AB/RAC1P,person_weighted,0.0476482029340619,0.0450306422198239,-0.002617560714238
spectral_C1,A/SEX,unweighted,0.0170197282368472,0.0120594068375258,-0.004960321399321399
spectral_C1,A/SEX,person_weighted,0.0145205171047501,0.0111140004833935,-0.0034065166213566
spectral_C1,AB/SEX,unweighted,0.0147978714084973,0.0086799916833481,-0.006117879725149201
spectral_C1,AB/SEX,person_weighted,0.013579558970371,0.009260701788459,-0.004318857181912002
spectral_C1,A/RAC1P,unweighted,0.0471001844556851,0.0452807669734493,-0.0018194174822357967
spectral_C1,A/RAC1P,person_weighted,0.0412049743540494,0.0397170795943214,-0.0014878947597279993
spectral_C1,AB/RAC1P,unweighted,0.0435946196092936,0.0401474111069827,-0.0034472085023109014
spectral_C1,AB/RAC1P,person_weighted,0.0379988891627604,0.0353813284485224,-0.002617560714238
spectral_L025,A/SEX,unweighted,0.0270681625476184,0.022107841148297,-0.004960321399321399
spectral_L025,A/SEX,person_weighted,0.0258459547583702,0.0224394381370137,-0.0034065166213564993
spectral_L025,AB/SEX,unweighted,0.0250175927245673,0.0188997129994182,-0.0061178797251491
spectral_L025,AB/SEX,person_weighted,0.0246162361439194,0.0202973789620074,-0.004318857181912002
spectral_L025,A/RAC1P,unweighted,0.0681782087289612,0.0663587912467253,-0.0018194174822359077
spectral_L025,A/RAC1P,person_weighted,0.0633360293163411,0.0618481345566131,-0.0014878947597279923
spectral_L025,AB/RAC1P,unweighted,0.0581117957536737,0.0546645872513629,-0.0034472085023107973
spectral_L025,AB/RAC1P,person_weighted,0.0535803801113992,0.0509628193971613,-0.002617560714237896
spectral_L1,A/SEX,unweighted,0.0198436836833956,0.0148833622840742,-0.004960321399321401
spectral_L1,A/SEX,person_weighted,0.0194994633970573,0.0160929467757008,-0.0034065166213564993
spectral_L1,AB/SEX,unweighted,0.0207240057281848,0.0146061260030356,-0.006117879725149201
spectral_L1,AB/SEX,person_weighted,0.0204561312766933,0.0161372740947814,-0.004318857181911898
spectral_L1,A/RAC1P,unweighted,0.0607950496986919,0.058975632216456,-0.0018194174822359008
spectral_L1,A/RAC1P,person_weighted,0.0570618497199602,0.0555739549602321,-0.0014878947597281034
spectral_L1,AB/RAC1P,unweighted,0.0515098616219888,0.0480626531196779,-0.0034472085023108945
spectral_L1,AB/RAC1P,person_weighted,0.0456608565292808,0.0430432958150429,-0.002617560714237903
spectral_L2,A/SEX,unweighted,0.0195992695166831,0.0146389481173617,-0.004960321399321401
spectral_L2,A/SEX,person_weighted,0.0184966808262747,0.0150901642049182,-0.0034065166213564993
spectral_L2,AB/SEX,unweighted,0.0195173713059227,0.0133994915807735,-0.006117879725149199
spectral_L2,AB/SEX,person_weighted,0.0183266300279715,0.0140077728460595,-0.004318857181912
spectral_L2,A/RAC1P,unweighted,0.0545100356022096,0.0526906181199738,-0.0018194174822357967
spectral_L2,A/RAC1P,person_weighted,0.050200324476423,0.048712429716695,-0.0014878947597280062
spectral_L2,AB/RAC1P,unweighted,0.0466191377578431,0.0431719292555322,-0.0034472085023109014
spectral_L2,AB/RAC1P,person_weighted,0.0416626681426153,0.0390451074283773,-0.002617560714238
spectral_M025,A/SEX,unweighted,0.0263860403053757,0.0214257189060543,-0.004960321399321399
spectral_M025,A/SEX,person_weighted,0.0247493306596964,0.0213428140383398,-0.0034065166213566
spectral_M025,AB/SEX,unweighted,0.0253595764123813,0.0192416966872321,-0.006117879725149201
spectral_M025,AB/SEX,person_weighted,0.0230028136468634,0.0186839564649514,-0.004318857181912002
spectral_M025,A/RAC1P,unweighted,0.0676614820019627,0.0658420645197269,-0.0018194174822357967
spectral_M025,A/RAC1P,person_weighted,0.0618261101935229,0.0603382154337949,-0.0014878947597279993
