mode,weight,target,withholding_source,target_residence_gain,source_residence_gain_at_p1,matching_probability,identifiable_in_unit_interval,target_additional/A/SEX,source_additional_at_matched_p/A/SEX,target_better_at_matched_p/A/SEX,target_additional/AB/SEX,source_additional_at_matched_p/AB/SEX,target_better_at_matched_p/AB/SEX,target_additional/A/RAC1P,source_additional_at_matched_p/A/RAC1P,target_better_at_matched_p/A/RAC1P,target_additional/AB/RAC1P,source_additional_at_matched_p/AB/RAC1P,target_better_at_matched_p/AB/RAC1P
A,unweighted,spectral_C1,E,0.028157190949755107,0.027869400703409486,1.0103263880486104,False,0.011224416808841016,,,0.009836648490868368,,,0.031079685107747137,,,0.024009935960782342,,
A,unweighted,spectral_C1,A0,0.028157190949755107,0.030585772951640222,0.9205976580770087,True,0.011224416808841016,0.02331645457183402,True,0.009836648490868368,0.020578959656365626,True,0.031079685107747137,0.05581082392415463,True,0.024009935960782342,0.044303433084833393,True
A,unweighted,spectral_C1,L025,0.028157190949755107,0.018925491341784045,1.4877918063659012,False,0.011224416808841016,,,0.009836648490868368,,,0.031079685107747137,,,0.024009935960782342,,
A,unweighted,spectral_C1,L20,0.028157190949755107,0.019132971051941006,1.4716580542204192,False,0.011224416808841016,,,0.009836648490868368,,,0.031079685107747137,,,0.024009935960782342,,
A,unweighted,spectral_C1,J,0.028157190949755107,0.020400947471806246,1.3801903557993007,False,0.011224416808841016,,,0.009836648490868368,,,0.031079685107747137,,,0.024009935960782342,,
A,unweighted,spectral_C1,spectral_S0,0.028157190949755107,0.03276160215639945,0.8594570807415489,True,0.011224416808841016,0.023199889979541755,True,0.009836648490868368,0.02197554100886143,True,0.031079685107747137,0.05717601436664382,True,0.024009935960782342,0.04433478407466866,True
A,person_weighted,spectral_C1,E,0.026205015002290853,0.024021381176691524,1.0909037581784913,False,0.011874604741138764,,,0.012345168703540518,,,0.029673625728021815,,,0.019299562608798133,,
A,person_weighted,spectral_C1,A0,0.026205015002290853,0.0280677212995624,0.9336352859788234,True,0.011874604741138764,0.02121408865068517,True,0.012345168703540518,0.02070294078301872,True,0.029673625728021815,0.05448752724201586,True,0.019299562608798133,0.04234314948849648,True
A,person_weighted,spectral_C1,L025,0.026205015002290853,0.01716603501700172,1.5265618983263565,False,0.011874604741138764,,,0.012345168703540518,,,0.029673625728021815,,,0.019299562608798133,,
A,person_weighted,spectral_C1,L20,0.026205015002290853,0.016654871748235878,1.5734143978062485,False,0.011874604741138764,,,0.012345168703540518,,,0.029673625728021815,,,0.019299562608798133,,
A,person_weighted,spectral_C1,J,0.026205015002290853,0.017699408660289278,1.4805587861861687,False,0.011874604741138764,,,0.012345168703540518,,,0.029673625728021815,,,0.019299562608798133,,
A,person_weighted,spectral_C1,spectral_S0,0.026205015002290853,0.02958591874105624,0.8857259168337496,True,0.011874604741138764,0.022993761772318082,True,0.012345168703540518,0.023469127969313074,True,0.029673625728021815,0.05649802868783422,True,0.019299562608798133,0.04321883544657004,True
B,unweighted,spectral_C1,E,0.028201474185656474,0.02630639060007574,1.0720389054656276,False,0.012059406837525878,,,0.008679991683348154,,,0.04528076697344943,,,0.04014741110698279,,
B,unweighted,spectral_C1,A0,0.028201474185656474,0.02888031986092928,0.9764945236568802,True,0.012059406837525878,0.026910040248250226,True,0.008679991683348154,0.02452696476284584,True,0.04528076697344943,0.06378247265481893,True,0.04014741110698279,0.052303334985057875,True
B,unweighted,spectral_C1,L025,0.028201474185656474,0.01746327115679865,1.6149021527777927,False,0.012059406837525878,,,0.008679991683348154,,,0.04528076697344943,,,0.04014741110698279,,
B,unweighted,spectral_C1,L20,0.028201474185656474,0.018131418948463335,1.5553925628113396,False,0.012059406837525878,,,0.008679991683348154,,,0.04528076697344943,,,0.04014741110698279,,
B,unweighted,spectral_C1,J,0.028201474185656474,0.018885336173653105,1.4933000888276637,False,0.012059406837525878,,,0.008679991683348154,,,0.04528076697344943,,,0.04014741110698279,,
B,unweighted,spectral_C1,spectral_S0,0.028201474185656474,0.03035137373961235,0.9291663180586126,True,0.012059406837525878,0.027536878115556836,True,0.008679991683348154,0.02376248531186767,True,0.04528076697344943,0.06878422825769377,True,0.04014741110698279,0.05753719832278989,True
B,person_weighted,spectral_C1,E,0.025263259866576862,0.02193491234578628,1.1517374434108447,False,0.011114000483393482,,,0.009260701788459103,,,0.039717079594321275,,,0.03538132844852266,,
B,person_weighted,spectral_C1,A0,0.025263259866576862,0.026578214166797308,0.9505251070682114,True,0.011114000483393482,0.02378677479434729,True,0.009260701788459103,0.0229133787594415,True,0.039717079594321275,0.05766671247286545,True,0.03538132844852266,0.047829154731387435,True
B,person_weighted,spectral_C1,L025,0.025263259866576862,0.01596528754409876,1.5823867748573626,False,0.011114000483393482,,,0.009260701788459103,,,0.039717079594321275,,,0.03538132844852266,,
B,person_weighted,spectral_C1,L20,0.025263259866576862,0.015828927662412805,1.5960184041125363,False,0.011114000483393482,,,0.009260701788459103,,,0.039717079594321275,,,0.03538132844852266,,
B,person_weighted,spectral_C1,J,0.025263259866576862,0.017115676366541287,1.4760304720392436,False,0.011114000483393482,,,0.009260701788459103,,,0.039717079594321275,,,0.03538132844852266,,
B,person_weighted,spectral_C1,spectral_S0,0.025263259866576862,0.026279044022177345,0.961346228776692,True,0.011114000483393482,0.028184125301949345,True,0.009260701788459103,0.025286410203461233,True,0.039717079594321275,0.06630313569578825,True,0.03538132844852266,0.05444833662799903,True
A,unweighted,J,spectral_C1,0.020400947471806246,0.028157190949755107,0.7245377391590861,True,-0.0028871170540351702,0.008132513578056914,True,0.0011591790034980627,0.007127023058476404,True,0.007719554047375128,0.02251840478174343,True,0.005942860771323232,0.017396104718379678,True
