family,left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,one_sided_upper_95_percentile,degenerate,adjusted_low,adjusted_high,critical_value,one_sided_critical_value,one_sided_upper_95_simultaneous
F1_primary,spectral_C1,spectral_L1,utility/same_residence,unweighted,0.000289699383529148,0.0005396927194326606,0.0004327645179718065,-0.0001033590868170231,0.0005017714339038406,-0.0006609013140400039,0.0012483315620859072,0.0011174346110059223,False,-0.0011805439766606164,0.0017599427437189122,2.9301057430693107,2.7252098204913002,0.0016571318228458937
F1_primary,spectral_C1,spectral_L1,utility/same_residence,person_weighted,9.937663234860228e-05,-8.282054268415884e-05,-2.383156612328907e-06,0.0003833335963422946,0.0005637886286763299,-0.001036007545784767,0.0011829929478185841,0.0010251363290641284,False,-0.0015525836664130846,0.0017513369311102892,2.9301057430693107,2.7252098204913002,0.0016358189398986611
F1_primary,spectral_C1,spectral_L1,recovery/A/SEX,unweighted,-0.0028239554465483217,-0.004643239172023059,-0.005542729900932977,0.0017141027333110702,0.0010323068995038767,-0.004855354386774511,-0.0008783819870359926,-0.0011811682276673756,False,-0.005848723821394704,0.00020081292829806025,2.9301057430693107,2.7252098204913002,-1.070254625943224e-05
F1_primary,spectral_C1,spectral_L1,recovery/A/SEX,person_weighted,-0.004978946292307324,-0.004981496600540307,-0.010794010668547665,0.0008386683921660018,0.0012155819148143775,-0.00740817392668897,-0.0025634685755610933,-0.003027749338376907,False,-0.008540729842076121,-0.0014171627425385272,2.9301057430693107,2.7252098204913002,-0.0016662305204435636
F1_primary,spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.005926134319687555,-0.004643239172023059,-0.009379590118572978,-0.0037555736684666274,0.00109904414644671,-0.008070767452894263,-0.0037782066803432614,-0.004136463661742456,False,-0.009146449885077769,-0.002705818754297341,2.9301057430693107,2.7252098204913002,-0.002931008418637502
F1_primary,spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.006876572306322327,-0.004981496600540307,-0.014299949377286195,-0.0013482709411404802,0.0012440974121320522,-0.009292707798727281,-0.004478289814045102,-0.0048854047935724745,False,-0.01052190927854812,-0.003231235334096534,2.9301057430693107,2.7252098204913002,-0.0034861458211322464
F1_primary,spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.013694865243006726,-0.014472057241295203,-0.012941179328000395,-0.013671359159724582,0.001255043034855993,-0.016081200783306424,-0.011210022308946643,-0.011625508858306816,False,-0.01737227404723741,-0.010017456438776044,2.9301057430693107,2.7252098204913002,-0.010274609639277968
F1_primary,spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.015856875365910756,-0.013481526139924649,-0.016786288596268316,-0.017302811361539307,0.0015380980935345108,-0.018899104157176095,-0.012884271745453561,-0.01337162680015026,False,-0.02036366542318018,-0.01135008530864133,2.9301057430693107,2.7252098204913002,-0.011665235336531563
F1_primary,spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.007915242012695181,-0.0053660236949712725,-0.010905665682951662,-0.0074740366601626085,0.001070495142232041,-0.00999367200358232,-0.005736443934578714,-0.006121479859002391,False,-0.011051905976877082,-0.0047785780485132805,2.9301057430693107,2.7252098204913002,-0.004997918138296193
F1_primary,spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.007661967366520195,-0.005583330388216262,-0.008097841066660949,-0.009304730644683373,0.001221882966908354,-0.010042919450972753,-0.005261417502621453,-0.005558346289337671,False,-0.01124221366521693,-0.00408172106782346,2.9301057430693107,2.7252098204913002,-0.004332079905610504
