mode,weight,interface,residence_gain_vs_H,absolute/A/SEX,additional/A/SEX,absolute/AB/SEX,additional/AB/SEX,absolute/A/RAC1P,additional/A/RAC1P,absolute/AB/RAC1P,additional/AB/RAC1P
B,unweighted,H,0.0,0.010121246182419908,0.0,0.01414662953204579,0.0,0.01646583353299036,0.0,0.030890090484781224,0.0
B,unweighted,J,0.018885336173653105,0.009171854000078432,-0.0009493921823414755,0.015860894668584164,0.001714265136538374,0.024074230839172022,0.007608397306181663,0.038358078872625184,0.00746798838784396
B,unweighted,spectral_S0,0.03035137373961235,0.039757359309176385,0.02963611312675648,0.039720614350519066,0.025573984818473276,0.09049373028393005,0.0740278967509397,0.09281355585856632,0.0619234653737851
B,unweighted,spectral_L1,0.028491173569185624,0.025004608466494105,0.014883362284074197,0.028752755535081498,0.014606126003035708,0.07544146574944652,0.05897563221645616,0.07895274360445918,0.04806265311967796
B,unweighted,spectral_C1,0.028201474185656474,0.022180653019945786,0.012059406837525878,0.022826621215393944,0.008679991683348154,0.06174660050643979,0.04528076697344943,0.07103750159176402,0.04014741110698279
B,unweighted,spectral_L2,0.02879274986088827,0.0247601942997816,0.014638948117361694,0.02754612111281936,0.013399491580773571,0.06915645165296438,0.052690618119974025,0.07406201974031328,0.04317192925553205
B,person_weighted,H,0.0,0.008601067541502158,0.0,0.011377648765817282,0.0,0.01843121686108552,0.0,0.03192325042422799,0.0
B,person_weighted,J,0.017115676366541287,0.005320512756883407,-0.003280554784618751,0.01171136426971716,0.0003337155038998785,0.023926550486236185,0.005495333625150665,0.03827709306072567,0.006353842636497679
B,person_weighted,spectral_S0,0.026279044022177345,0.0379184190411939,0.029317351499691738,0.037680773952710724,0.026303125186893442,0.08740026642001357,0.06896904955892805,0.08856084362234586,0.05663759319811786
B,person_weighted,spectral_L1,0.025362636498925464,0.024694014317202962,0.016092946775700806,0.027514922860598715,0.016137274094781433,0.07400517182131755,0.05557395496023203,0.07496654623927085,0.043043295815042855
B,person_weighted,spectral_C1,0.025263259866576862,0.01971506802489564,0.011114000483393482,0.020638350554276385,0.009260701788459103,0.05814829645540679,0.039717079594321275,0.06730457887275065,0.03538132844852266
B,person_weighted,spectral_L2,0.025437180878962445,0.023691231746420325,0.015090164204918167,0.025385421611876808,0.014007772846059526,0.06714364657778038,0.04871242971669486,0.07096835785260532,0.03904510742837732
A,unweighted,H,0.0,0.008254734303405831,0.0,0.01122834051612053,0.0,0.015643432418732287,0.0,0.03012264100398219,0.0
A,unweighted,J,0.020400947471806246,0.005367617249370661,-0.0028871170540351702,0.012387519519618593,0.0011591790034980627,0.023362986466107415,0.007719554047375128,0.036065501775305424,0.005942860771323232
A,unweighted,spectral_S0,0.03276160215639945,0.035248391694097915,0.026993657390692084,0.03679743698560414,0.02556909646948361,0.08216916784848956,0.06652573542975727,0.08170728096810481,0.05158463996412262
A,unweighted,spectral_L1,0.029093152792246113,0.02266103836864068,0.014406304065234847,0.025223470916398382,0.013995130400277852,0.05870068879836665,0.04305725637963437,0.0669715980291248,0.0368489570251426
A,unweighted,spectral_C1,0.028157190949755107,0.019479151112246847,0.011224416808841016,0.0210649890069889,0.009836648490868368,0.046723117526479424,0.031079685107747137,0.054132576964764534,0.024009935960782342
A,unweighted,spectral_L2,0.02829681913158296,0.019914082117251014,0.011659347813845183,0.02212796928019466,0.01089962876407413,0.054444636507227334,0.03880120408849505,0.06025897968486196,0.03013633868087977
A,person_weighted,H,0.0,0.00795434500001494,0.0,0.008501826308126133,0.0,0.015797050637937734,0.0,0.030030284560922344,0.0
A,person_weighted,J,0.017699408660289278,0.003084063649942117,-0.004870281350072822,0.008831375883254335,0.00032954957512820217,0.025265285621044863,0.00946823498310713,0.0346810224780997,0.0046507379171773534
A,person_weighted,spectral_S0,0.02958591874105624,0.0339147028661538,0.02596035786613886,0.03499888089721322,0.02649705458908709,0.0795843098950685,0.06378725925713076,0.07882510316696094,0.0487948186060386
A,person_weighted,spectral_L1,0.026352215133798852,0.023399724376567455,0.015445379376552515,0.0248433837547662,0.01634155744664007,0.0582868064242729,0.04248975578633517,0.06401031809955299,0.03398003353863065
A,person_weighted,spectral_C1,0.026205015002290853,0.019828949741153703,0.011874604741138764,0.02084699501166665,0.012345168703540518,0.04547067636595955,0.029673625728021815,0.04932984716972048,0.019299562608798133
A,person_weighted,spectral_L2,0.025817811475949026,0.020588385076214733,0.012634040076199794,0.021481598128094696,0.012979771819968563,0.05299099592863088,0.03719394529069314,0.057198731109765415,0.02716844654884307
