family,contrast,weight,estimate,registered_rule_point_le_margin,se,pointwise_upper_95_percentile,noninferior_pointwise,simultaneous_upper_95_studentised,noninferior_simultaneous,adjusted_low,adjusted_high,equivalent_two_sided_simultaneous,unadjusted_low,unadjusted_high,equivalent_two_sided_pointwise
F1_primary,spectral_C1 - spectral_L1,unweighted,0.000289699383529148,True,0.0005017714339038406,0.0011174346110059223,False,0.0016571318228458937,False,-0.0011805439766606164,0.0017599427437189122,False,-0.0006609013140400039,0.0012483315620859072,False
F1_primary,spectral_C1 - spectral_L1,person_weighted,9.937663234860228e-05,True,0.0005637886286763299,0.0010251363290641284,False,0.0016358189398986611,False,-0.0015525836664130846,0.0017513369311102892,False,-0.001036007545784767,0.0011829929478185841,False
F1_primary,spectral_C1 - spectral_L2,unweighted,0.0005912756752317986,True,0.00044950015270558036,0.001345008941851115,False,0.0018162579056973868,False,-0.0007258073037213563,0.0019083586541849534,False,-0.0002819666936810489,0.0014878233149130157,False
F1_primary,spectral_C1 - spectral_L2,person_weighted,0.00017392101238557683,True,0.00052886253848305,0.0010237041034742618,False,0.0016151823959495422,False,-0.0013757021489178218,0.0017235441736889753,False,-0.0008419794318686836,0.0011888307628416398,False
F4_frozen_transfer,spectral_C1 - spectral_L1,unweighted,0.0009359618424910066,True,0.0005592988916875865,0.0018968465708352944,False,0.0026179547569049264,False,-0.0008569650366307968,0.00272888872161281,False,-0.00010593100475717782,0.0020621626749529123,False
F4_frozen_transfer,spectral_C1 - spectral_L1,person_weighted,0.00014720013150800365,True,0.0007388622955043457,0.0014042413894574206,False,0.002369198358638579,False,-0.002221347507809229,0.0025157477708252366,False,-0.0012879512556558162,0.001620653317370511,False
F4_frozen_transfer,spectral_C1 - spectral_L2,unweighted,0.0001396281818278518,True,0.00042700755881993165,0.0008395237528845412,True,0.0014237782114644118,False,-0.0012292165292467497,0.0015084728929024532,False,-0.0006871775590150684,0.0009978317446149138,True
F4_frozen_transfer,spectral_C1 - spectral_L2,person_weighted,-0.00038720352634182464,True,0.0005332047446641246,0.0004902612349676851,True,0.0012163158365356228,False,-0.00209648121845209,0.001322074165768441,False,-0.0014135529121050371,0.000637912568691057,False
F4_frozen_transfer,J - L025,unweighted,-0.0014754561300222011,True,0.0007460345999985587,-0.000300348238796581,True,0.0007681115397062041,True,-0.0038669958004413007,0.0009160835403968983,False,-0.002957195986139707,-0.00010479349296748217,False
F4_frozen_transfer,J - L025,person_weighted,-0.0005333736432875565,True,0.0009608154402129473,0.0010152663317367638,False,0.002356109576715644,False,-0.003613429502928509,0.002546682216353396,False,-0.002417719921297608,0.0013545823592759356,False
F4_frozen_transfer,J - L20,unweighted,-0.0012679764198652392,True,0.0008558706709354944,0.00016630261645581934,True,0.001305903889149039,False,-0.0040116141308968725,0.0014756612911663938,False,-0.002922409591743654,0.0004297533267031745,False
F4_frozen_transfer,J - L20,person_weighted,-0.0010445369120533994,True,0.001076858344207685,0.0007108934579697817,True,0.002193924904524935,False,-0.004496587861968427,0.0024075140378616287,False,-0.0030886128199403063,0.0010081039311399878,False
