mode,scope,budget,weight,interface,residence_gain_vs_H,residence_gain_low,residence_gain_high,absolute/A/SEX,H_baseline/A/SEX,additional/A/SEX,absolute/AB/SEX,H_baseline/AB/SEX,additional/AB/SEX,absolute/A/RAC1P,H_baseline/A/RAC1P,additional/A/RAC1P,absolute/AB/RAC1P,H_baseline/AB/RAC1P,additional/AB/RAC1P,absolute/B/SEX,H_baseline/B/SEX,additional/B/SEX,absolute/B/RAC1P,H_baseline/B/RAC1P,additional/B/RAC1P
B,transport_all,360,unweighted,H,0.0,0.0,0.0,0.010121246182419908,0.010121246182419908,0.0,0.01414662953204579,0.01414662953204579,0.0,0.01646583353299036,0.01646583353299036,0.0,0.030890090484781224,0.030890090484781224,0.0,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,E,0.02630639060007574,0.021225327759488457,0.03150119687617297,0.02651085154178692,0.010121246182419908,0.01638960535936701,0.029932747314615746,0.01414662953204579,0.015786117782569956,0.07935321046145813,0.01646583353299036,0.06288737692846777,0.0846092138175482,0.030890090484781224,0.053719123332766974,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,A0,0.02888031986092928,0.02452771250738001,0.03330404754669993,0.037679045633741616,0.010121246182419908,0.02755779945132171,0.039263989812771856,0.01414662953204579,0.025117360280726066,0.08178363215817831,0.01646583353299036,0.06531779862518795,0.08445243386504597,0.030890090484781224,0.05356234338026475,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,L025,0.01746327115679865,0.014695405665913661,0.02024706927475571,0.011073136232368731,0.010121246182419908,0.0009518900499488232,0.020149226766941655,0.01414662953204579,0.006002597234895865,0.025815755046642342,0.01646583353299036,0.009349921513651983,0.04298225215745154,0.030890090484781224,0.01209216167267032,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,L20,0.018131418948463335,0.015033569682154576,0.021183253699798874,0.011619400901592096,0.010121246182419908,0.0014981547191721886,0.022978437980657466,0.01414662953204579,0.008831808448611676,0.024732057461667286,0.01646583353299036,0.008266223928676927,0.04772168993472866,0.030890090484781224,0.016831599449947436,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,J,0.018885336173653105,0.016241976943891945,0.02155896624796544,0.009171854000078432,0.010121246182419908,-0.0009493921823414755,0.015860894668584164,0.01414662953204579,0.001714265136538374,0.024074230839172022,0.01646583353299036,0.007608397306181663,0.038358078872625184,0.030890090484781224,0.00746798838784396,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,spectral_S0,0.03035137373961235,0.024551572855294877,0.036352324657017515,0.039757359309176385,0.010121246182419908,0.02963611312675648,0.039720614350519066,0.01414662953204579,0.025573984818473276,0.09049373028393005,0.01646583353299036,0.0740278967509397,0.09281355585856632,0.030890090484781224,0.0619234653737851,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,spectral_M025,0.029623650205631402,0.024188543617742395,0.03506056187324549,0.03154696508847421,0.010121246182419908,0.021425718906054304,0.03338832621927793,0.01414662953204579,0.019241696687232142,0.08230789805271731,0.01646583353299036,0.06584206451972695,0.08311379265782293,0.030890090484781224,0.0522237021730417,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,spectral_M1,0.02980265491840868,0.024588152846844676,0.034936058901869994,0.03316929488242059,0.010121246182419908,0.023048048700000684,0.032739916448760925,0.01414662953204579,0.018593286916715135,0.07969063173369721,0.01646583353299036,0.06322479820070685,0.08150758739099861,0.030890090484781224,0.05061749690621739,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
B,transport_all,360,unweighted,spectral_L025,0.029869789848009774,0.024161918967427042,0.03542664464319602,0.03222908733071699,0.010121246182419908,0.022107841148297086,0.033046342531464025,0.01414662953204579,0.018899712999418235,0.08282462477971596,0.01646583353299036,0.0663587912467256,0.08555467773614411,0.030890090484781224,0.05466458725136289,0.000626118125882111,0.000626118125882111,0.0,0.021133703074294925,0.021133703074294925,0.0
