seed,task,transport_unweighted,transport_pwgtp,transport_accuracy,transport_auroc,development_unweighted,development_pwgtp,development_accuracy
0,income_binary,0.2872230854486007,0.2844488908146843,0.8731474503893494,0.9000953920710952,0.3068980650891795,0.31872632369154397,0.8655264922870557
0,civilian_at_work,0.30181358052669005,0.3016415700251322,0.8938080884199949,0.8808713099015908,0.28475496083864515,0.26590580115060536,0.9020791415157612
0,public_coverage,0.49587580076927257,0.5031554327696829,0.7616804822908817,0.7303238684592601,0.5179215912219812,0.5276901519905658,0.743796109993293
1,income_binary,0.2826840923505051,0.27958015786381796,0.8727078623461442,0.9027815648194903,0.28939968070909255,0.30125846883280205,0.8703150912106136
1,civilian_at_work,0.30560309515082645,0.3050490200823202,0.8901657874905803,0.8910493800598296,0.286353846153214,0.2752813821526603,0.8998341625207297
1,public_coverage,0.49609862495071994,0.505759393234326,0.7704094448630997,0.7265453306784925,0.4971037506030933,0.5015961194261777,0.7731343283582089
2,income_binary,0.28220467020241213,0.27818843562835344,0.8737126350163276,0.9032907602410682,0.2994374096035728,0.3117187154523298,0.865055387713998
2,civilian_at_work,0.2991808948234302,0.30137625170154203,0.89531524742527,0.8895891822265749,0.29411261379417086,0.2905806128827627,0.8972809667673716
2,public_coverage,0.5018690662428957,0.5111343600432438,0.7675207234363225,0.7213415558925627,0.4988445461249358,0.5130461775852106,0.7663645518630413
