left,right,mode,scope,budget,weight,endpoint,estimate,seed_0,seed_1,seed_2,unadjusted_low,unadjusted_high,unadjusted_excludes_zero_worse,unadjusted_excludes_zero_better
spectral_C1,J,B,transport_all,360,unweighted,utility/income_binary,0.008113629991057933,0.007664139865902808,0.01000893004767911,0.006667820059591878,0.005856095873595722,0.010465831992332716,True,False
spectral_C1,J,B,transport_all,360,unweighted,utility/civilian_at_work,0.013534809583793255,0.01069397949895523,0.016617583776645184,0.013292865475779347,0.011023159136442296,0.016053525263626856,True,False
spectral_C1,J,B,transport_all,360,unweighted,recovery/A/SEX,0.013008799019867368,0.020050239870836723,0.00344286635270385,0.015533290836061532,0.009132686880013199,0.017040836955016316,True,False
spectral_C1,J,B,transport_all,360,unweighted,recovery/A/RAC1P,0.0376723696672678,0.04278886183595329,0.038265356228334324,0.03196289093751579,0.03179321435292746,0.043603892129122544,True,False
spectral_C1,J,B,transport_all,360,unweighted,recovery/AB/SEX,0.006965726546809788,0.00877797873400947,0.0014002022171637658,0.010718998689256128,0.0030818577792330196,0.010892184369067089,True,False
spectral_C1,J,B,transport_all,360,unweighted,recovery/AB/RAC1P,0.032679422719138686,0.033033747057527874,0.031822040854038176,0.03318248024585,0.02733060852030728,0.03809614713254773,True,False
spectral_C1,J,B,transport_all,360,person_weighted,utility/income_binary,0.007243884217999245,0.007126085974775376,0.00937786491964071,0.005227701759581649,0.004314498043347536,0.010267282154354757,True,False
spectral_C1,J,B,transport_all,360,person_weighted,utility/civilian_at_work,0.011437777058692348,0.008937534558801474,0.014139394136284789,0.011236402480990781,0.00864591741795129,0.014298908451635796,True,False
spectral_C1,J,B,transport_all,360,person_weighted,recovery/A/public_coverage,0.005288604627555575,0.004174897658046753,0.0023212815507592174,0.009369634673860754,0.0014183725025888655,0.00906559644537978,True,False
spectral_C1,J,B,transport_all,360,person_weighted,recovery/A/SEX,0.014394555268012223,0.02474634111249791,0.0009678733310052434,0.017469451360533513,0.00981470700372456,0.01943606409672769,True,False
spectral_C1,J,B,transport_all,360,person_weighted,recovery/A/RAC1P,0.03422174596917063,0.04228392737861221,0.033670190262852076,0.0267111202660476,0.027137352318829508,0.041653565398653405,True,False
spectral_C1,J,B,transport_all,360,person_weighted,recovery/AB/SEX,0.00892698628455923,0.011431953412910895,0.0011812646382771703,0.014167740802489625,0.004414729793366624,0.013887813670827906,True,False
spectral_C1,J,B,transport_all,360,person_weighted,recovery/AB/RAC1P,0.02902748581202505,0.029588717513803306,0.02971133019004738,0.027782409732224463,0.02260960162708418,0.03586077591693066,True,False
J,L025,B,transport_all,360,unweighted,utility/civilian_at_work,0.0014869572945285792,0.0009965590249114142,0.002401498521823142,0.001062814336851181,0.0007339036414043603,0.002201305570728101,True,False
J,L025,B,transport_all,360,person_weighted,utility/civilian_at_work,0.0011889820306021,0.0008880933586687401,0.0020009308210656718,0.0006779219120718882,0.0003374721054469532,0.0021083573960580344,True,False
J,L20,B,transport_all,360,unweighted,recovery/A/public_coverage,0.003146835693428084,0.005505057080579634,2.3309842783370005e-05,0.003912140156921248,0.0012914104517259572,0.005016379521608243,True,False
spectral_C1,spectral_L1,B,transport_all,360,unweighted,utility/income_binary,0.0019172425875238488,0.0006866227331489561,0.003771899830936065,0.0012932051984865245,0.0010233531629131112,0.0029271294474922734,True,False
spectral_C1,spectral_L1,B,transport_all,360,person_weighted,utility/income_binary,0.001562567770542811,0.000884426684139572,0.0033694719277594376,0.00043380469972942315,0.0005426590033230562,0.002623328281964943,True,False
spectral_C1,spectral_L2,B,transport_all,360,unweighted,utility/income_binary,0.0012456080855133092,0.0003417810114585418,0.0023569916909358946,0.0010380515541454916,0.0004320487465407548,0.002040141498654294,True,False
spectral_C1,spectral_L2,B,transport_all,360,person_weighted,utility/income_binary,0.0013979606994005318,0.00047556780837798573,0.002614340173670182,0.0011039741161534278,0.0005391286562865786,0.0023660914035390124,True,False
