mode,condition,seed,weight,residence_gain_vs_H,residence_loss,pca32_residence_loss,best_bank_residence_loss,half_headroom_pass,source_excess_income_binary,source_excess_civilian_at_work,source_excess_public_coverage,source_allowance_pass
A,H,0,unweighted,0.0,0.543748274105843,0.5003832056376404,0.5164956842414223,False,0.003028458346868157,-0.0005762171866547927,0.005791310668137817,True
A,H,0,person_weighted,0.0,0.5241219656243131,0.4845925136468352,0.49930324019597977,False,0.0031493902253535433,-0.0018396203386201182,0.005533935488115205,True
A,H,1,unweighted,0.0,0.5432155836398714,0.49937202910128053,0.5290456778070517,False,0.0029714002914920656,0.00831161095391414,0.00648179690056766,True
A,H,1,person_weighted,0.0,0.5202764957982798,0.48282756933708343,0.5095792472930558,False,0.002809529731412186,0.003775020077953384,0.007117011386177929,True
A,H,2,unweighted,0.0,0.5477665101002593,0.5014214436967052,0.5224158226702662,False,0.00045808718754397626,0.007312857577733534,0.0074968031684421454,True
A,H,2,person_weighted,0.0,0.5271226625353181,0.48628121473696917,0.5037730745855304,False,0.0003693992422298953,0.004326233691115733,0.007921571829084484,True
A,E,0,unweighted,0.024975181499319432,0.5187730926065236,0.5003832056376404,0.5164956842414223,False,0.004590108544563987,0.0004190137921506465,0.005791310668137817,True
A,E,0,person_weighted,0.021440286711680967,0.5026816789126322,0.4845925136468352,0.49930324019597977,False,0.0037715131327658025,0.0002821528843867105,0.005533935488115205,True
A,E,1,unweighted,0.02609276169133712,0.5171228219485343,0.49937202910128053,0.5290456778070517,False,0.007064292406906925,0.006269870246595255,0.00648179690056766,True
A,E,1,person_weighted,0.020753143823859566,0.49952335197442027,0.48282756933708343,0.5095792472930558,False,0.0063273596533098275,0.0030430130001066202,0.007117011386177929,True
A,E,2,unweighted,0.03254025891957191,0.5152262511806874,0.5014214436967052,0.5224158226702662,False,0.005009762891232283,0.003921163146318907,0.0074968031684421454,True
A,E,2,person_weighted,0.029870712994534032,0.4972519495407841,0.48628121473696917,0.5037730745855304,False,0.003966266709548694,0.0020590568010800947,0.007921571829084484,True
A,A0,0,unweighted,0.03311745199830418,0.5106308221075389,0.5003832056376404,0.5164956842414223,False,-0.002010358126617151,-0.010265805331843292,0.005791310668137817,True
A,A0,0,person_weighted,0.033504682126249574,0.49061728349806355,0.4845925136468352,0.49930324019597977,True,-0.0013324137975430639,-0.008132355472509123,0.005533935488115205,True
A,A0,1,unweighted,0.0229955584368845,0.5202200252029869,0.49937202910128053,0.5290456778070517,False,-0.0008672024415921076,-0.011598825463046025,0.00648179690056766,True
A,A0,1,person_weighted,0.01920929295593443,0.5010672028423454,0.48282756933708343,0.5095792472930558,False,-0.0004924597766630123,-0.011272547939413013,0.007117011386177929,True
A,A0,2,unweighted,0.035644308419731985,0.5121222016805274,0.5014214436967052,0.5224158226702662,False,-3.657340483875782e-05,-0.009886418848259415,0.0074968031684421454,True
A,A0,2,person_weighted,0.0314891888165032,0.49563347371881494,0.48628121473696917,0.5037730745855304,False,1.6994964044669825e-05,-0.010406119337953823,0.007921571829084484,True
