mode,scope,seed,condition,endpoint,weight,selected_minus_routed_H_selected
B,transport_all,0,spectral_L1,A/RAC1P,person_weighted,-0.0543427018329905
B,transport_all,0,spectral_L1,AB/SEX,unweighted,-0.015163285739405286
B,transport_all,0,spectral_L1,AB/SEX,person_weighted,-0.01733460098717965
B,transport_all,0,spectral_L1,AB/RAC1P,unweighted,-0.042282692137734834
B,transport_all,0,spectral_L1,AB/RAC1P,person_weighted,-0.036959383610636776
B,transport_all,0,spectral_C025,A/SEX,unweighted,-0.020652967487734486
B,transport_all,0,spectral_C025,A/SEX,person_weighted,-0.02154032813480855
B,transport_all,0,spectral_C025,A/RAC1P,unweighted,-0.05681675549807541
B,transport_all,0,spectral_C025,A/RAC1P,person_weighted,-0.050714099438117
B,transport_all,0,spectral_C025,AB/SEX,unweighted,-0.01829303121673831
B,transport_all,0,spectral_C025,AB/SEX,person_weighted,-0.01905358232085652
B,transport_all,0,spectral_C025,AB/RAC1P,unweighted,-0.04225823981339394
B,transport_all,0,spectral_C025,AB/RAC1P,person_weighted,-0.036646421403591756
B,transport_all,0,spectral_C1,A/SEX,unweighted,-0.012879982838378434
B,transport_all,0,spectral_C1,A/SEX,person_weighted,-0.01483985020059142
B,transport_all,0,spectral_C1,A/RAC1P,unweighted,-0.04456064916824842
B,transport_all,0,spectral_C1,A/RAC1P,person_weighted,-0.04086117569306591
B,transport_all,0,spectral_C1,AB/SEX,unweighted,-0.010520046567382257
B,transport_all,0,spectral_C1,AB/SEX,person_weighted,-0.01235310438663939
B,transport_all,0,spectral_C1,AB/RAC1P,unweighted,-0.036916668442763534
B,transport_all,0,spectral_C1,AB/RAC1P,person_weighted,-0.03137605322242032
B,transport_all,0,spectral_L2,A/SEX,unweighted,-0.014862131000107026
B,transport_all,0,spectral_L2,A/SEX,person_weighted,-0.015959328354891555
B,transport_all,0,spectral_L2,A/RAC1P,unweighted,-0.049959408881324
B,transport_all,0,spectral_L2,A/RAC1P,person_weighted,-0.045949869844385205
B,transport_all,0,spectral_L2,AB/SEX,unweighted,-0.016333514193877297
B,transport_all,0,spectral_L2,AB/SEX,person_weighted,-0.017952519404600187
B,transport_all,0,spectral_L2,AB/RAC1P,unweighted,-0.03652781671261174
B,transport_all,0,spectral_L2,AB/RAC1P,person_weighted,-0.03181380003716705
B,transport_all,1,E,A/SEX,unweighted,-0.009103583354121425
B,transport_all,1,E,A/SEX,person_weighted,-0.011754426784442384
B,transport_all,1,E,A/RAC1P,unweighted,-0.05799368905951541
B,transport_all,1,E,A/RAC1P,person_weighted,-0.05358430464693975
B,transport_all,1,E,AB/SEX,unweighted,-0.00973927672258823
B,transport_all,1,E,AB/SEX,person_weighted,-0.012112793806761335
B,transport_all,1,E,AB/RAC1P,unweighted,-0.05435713040168011
B,transport_all,1,E,AB/RAC1P,person_weighted,-0.0495276163380689
B,transport_all,1,A0,A/SEX,unweighted,-0.024337346090975154
B,transport_all,1,A0,A/SEX,person_weighted,-0.02392230354198388
B,transport_all,1,A0,A/RAC1P,unweighted,-0.06602339958015846
B,transport_all,1,A0,A/RAC1P,person_weighted,-0.06319432909702116
B,transport_all,1,A0,AB/SEX,unweighted,-0.020356777369090584
B,transport_all,1,A0,AB/SEX,person_weighted,-0.021365847261113458
B,transport_all,1,A0,AB/RAC1P,unweighted,-0.05826701198499351
B,transport_all,1,A0,AB/RAC1P,person_weighted,-0.05689906664199018
B,transport_all,1,L025,A/SEX,unweighted,0.0
B,transport_all,1,L025,A/SEX,person_weighted,0.0
B,transport_all,1,L025,A/RAC1P,unweighted,-0.012587821345546146
B,transport_all,1,L025,A/RAC1P,person_weighted,-0.012789983704474928
B,transport_all,1,L025,AB/SEX,unweighted,-3.5165574147622e-05
B,transport_all,1,L025,AB/SEX,person_weighted,0.0020330387444464915
B,transport_all,1,L025,AB/RAC1P,unweighted,-0.014044247643148156
B,transport_all,1,L025,AB/RAC1P,person_weighted,-0.01791278941794694
B,transport_all,1,L20,A/SEX,unweighted,0.0
B,transport_all,1,L20,A/SEX,person_weighted,0.0
B,transport_all,1,L20,A/RAC1P,unweighted,-0.005779258590154823
B,transport_all,1,L20,A/RAC1P,person_weighted,-0.007318445358316605
B,transport_all,1,L20,AB/SEX,unweighted,-0.005595613639806651
B,transport_all,1,L20,AB/SEX,person_weighted,-0.0027359869865066777
B,transport_all,1,L20,AB/RAC1P,unweighted,-0.014165071460531697
B,transport_all,1,L20,AB/RAC1P,person_weighted,-0.014333001844098359
B,transport_all,1,J,A/SEX,unweighted,0.0
B,transport_all,1,J,A/SEX,person_weighted,0.0
B,transport_all,1,J,A/RAC1P,unweighted,-0.007954200837271497
B,transport_all,1,J,A/RAC1P,person_weighted,-0.005608384722273874
B,transport_all,1,J,AB/SEX,unweighted,0.0
B,transport_all,1,J,AB/SEX,person_weighted,0.0
B,transport_all,1,J,AB/RAC1P,unweighted,-0.008310608295483801
B,transport_all,1,J,AB/RAC1P,person_weighted,-0.007978262335556652
B,transport_all,1,spectral_S0,A/SEX,unweighted,-0.026365244262543164
B,transport_all,1,spectral_S0,A/SEX,person_weighted,-0.027242995129019842
B,transport_all,1,spectral_S0,A/RAC1P,unweighted,-0.07723915857046482
B,transport_all,1,spectral_S0,A/RAC1P,person_weighted,-0.07092697231212441
B,transport_all,1,spectral_S0,AB/SEX,unweighted,-0.023212384276813602
