family,left,right,endpoint,weight,development_seed_mean,transport_estimate,status
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.005149519287908067,-0.004158481909409481,consistent
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.006029618188310067,-0.003996388743099544,consistent
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.010658035141672366,-0.011977571271887222,consistent
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.012032948288783133,-0.012816130058313363,consistent
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.0142668569356243,-0.012839021064360214,consistent
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.015021786509925033,-0.014680470929832599,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,utility/same_residence,unweighted,0.0020568596355590757,0.00013962818182766673,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,utility/same_residence,person_weighted,0.0018097452570517,-0.0003872035263421947,unresolved
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0006523449016776001,-0.0004349310050041442,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/A/SEX,person_weighted,-0.0014202637413465666,-0.0007594353350610835,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/AB/SEX,unweighted,-0.00031852908854409996,-0.0010629802732057443,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/AB/SEX,person_weighted,-0.000912747691946,-0.0006346031164280105,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/A/RAC1P,unweighted,-0.0053085961424718005,-0.007721518980747874,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/A/RAC1P,person_weighted,-0.005534409675829933,-0.007520319562671343,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/AB/RAC1P,unweighted,-0.0005733455774876001,-0.006126402720097533,consistent
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/AB/RAC1P,person_weighted,-0.0004233782159733333,-0.007868883940044962,consistent
F4_frozen_transfer,J,L025,utility/same_residence,unweighted,-0.0034301799376865332,-0.001475456130021313,consistent
F4_frozen_transfer,J,L025,utility/same_residence,person_weighted,-0.0030943548508973,-0.0005333736432886113,consistent
F4_frozen_transfer,J,L025,recovery/A/SEX,unweighted,-0.0047670484943005,-0.003505977136158507,consistent
F4_frozen_transfer,J,L025,recovery/A/SEX,person_weighted,-0.0056348644055028005,-0.004908619145026264,consistent
F4_frozen_transfer,J,L025,recovery/AB/SEX,unweighted,0.0009446634967333333,-0.004702212332584036,contradicted
F4_frozen_transfer,J,L025,recovery/AB/SEX,person_weighted,-0.0003544180347331333,-0.003792957208253015,consistent
F4_frozen_transfer,J,L025,recovery/A/RAC1P,unweighted,-0.0023585608532756667,-0.0013961135981659643,consistent
F4_frozen_transfer,J,L025,recovery/A/RAC1P,person_weighted,-0.0023839703694238336,-5.0170335211183886e-05,consistent
F4_frozen_transfer,J,L025,recovery/AB/RAC1P,unweighted,-0.0059637791613124,-0.0030558370483535534,consistent
F4_frozen_transfer,J,L025,recovery/AB/RAC1P,person_weighted,-0.0053325949372788,-0.004104715078145964,consistent
F4_frozen_transfer,J,L20,utility/same_residence,unweighted,-0.0036812434326875336,-0.0012679764198653503,consistent
F4_frozen_transfer,J,L20,utility/same_residence,person_weighted,-0.004159376679068167,-0.0010445369120544168,consistent
F4_frozen_transfer,J,L20,recovery/A/SEX,unweighted,-0.005917906019970168,0.004567230460588816,unresolved
F4_frozen_transfer,J,L20,recovery/A/SEX,person_weighted,-0.006631646289818434,0.0016040017616511392,unresolved
F4_frozen_transfer,J,L20,recovery/AB/SEX,unweighted,-0.007788940428056434,-0.006388271690136168,consistent
F4_frozen_transfer,J,L20,recovery/AB/SEX,person_weighted,-0.0021813040974185665,-0.0056212931523344075,consistent
F4_frozen_transfer,J,L20,recovery/A/RAC1P,unweighted,0.005152961074154566,0.004274896324651992,consistent
F4_frozen_transfer,J,L20,recovery/A/RAC1P,person_weighted,0.004064382515264034,0.006656087769485279,consistent
F4_frozen_transfer,J,L20,recovery/AB/RAC1P,unweighted,-0.006480598956605867,-0.0064603096710321665,consistent
F4_frozen_transfer,J,L20,recovery/AB/RAC1P,person_weighted,-0.0036573157381269996,-0.005997004374509412,consistent
