epoch,race_s2_r2,race_s2_lambda,sex_s2_r2,sex_s2_lambda,age_s0_r2,age_s0_lambda
157,0.123432,,0.014848,,0.243030,
158,0.151318,,0.016880,,0.245286,
159,0.124260,,0.015676,,0.241209,
160,0.140133,,0.013101,,0.234166,
161,0.172011,,0.036773,,0.235884,
162,0.198432,,0.051862,,0.245736,
163,0.154934,,0.013900,,0.243489,
164,0.179116,,0.024872,,0.238290,
165,0.182580,,0.023034,,0.233861,
166,0.189877,,0.029159,,0.229949,
167,0.184537,,0.020744,,0.238592,
168,0.177771,,0.014360,,0.240877,
169,0.195406,,0.021454,,0.239608,
170,0.224473,,0.034720,,0.233979,
171,0.217978,,0.027716,,0.233407,
172,0.189406,,0.015360,,0.237481,
173,0.404194,,0.032644,,0.230212,
174,0.413497,,0.042682,,0.226887,
175,0.325713,,0.026013,,0.226971,
176,0.417483,,0.023529,,0.232013,
177,0.383577,,0.026770,,0.226487,
178,0.397054,,0.017806,,0.236062,
179,0.416999,,0.030122,,0.230475,
180,0.225478,,0.015660,,0.235827,
181,0.362473,,0.046676,,0.231263,
182,0.420181,,0.018065,,0.225738,
183,0.441286,,0.063135,,0.225373,
184,0.444431,,0.053574,,0.176516,
185,0.425469,,0.027782,,0.064092,
186,0.430913,,0.029360,,0.039247,
187,0.395512,,0.018253,,0.038585,
188,0.419761,,0.033490,,0.031822,
189,0.421527,,0.025962,,0.032862,
190,0.401105,,0.018287,,0.027773,
191,0.417555,,0.021835,,0.032918,
192,0.437124,,0.044409,,0.025331,
193,0.438767,,0.027330,,0.025337,
194,0.428954,,0.021173,,0.022585,
195,0.414871,,0.018693,,0.024882,
196,0.415197,,0.020671,,0.026755,
197,0.435149,,0.019978,,0.028923,
198,0.436515,,0.048689,,0.029939,
199,0.365589,,0.023333,,0.037902,
200,0.401288,,0.025130,,0.026103,
201,0.417020,,0.026488,,0.039625,
202,0.394855,,0.046235,,0.026013,
203,0.392833,,0.020953,,0.027606,
204,0.382115,,0.018252,,0.030709,
