seed,condition,kind,endpoint,budget,scope,weight,candidate_id,candidate_path,value,pass,status,reason
0,H,audit,A/SEX,120,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,120,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,expanded_catchup,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,120,expanded_catchup,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,standard_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,standard_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,expanded_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,expanded_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,expanded_catchup,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,120,expanded_catchup,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,standard_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,standard_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,expanded_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,expanded_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,expanded_catchup,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,120,expanded_catchup,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,expanded_catchup,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/SEX,120,expanded_catchup,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/RAC1P,120,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/SEX,120,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/SEX/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,standard_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,standard_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,expanded_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,expanded_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/fresh/nested120/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,AB/RAC1P,120,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/AB/RAC1P/saved_start/nested120/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,expanded_catchup,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,360,expanded_catchup,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
