condition,weight,endpoint,mean_of_three_seeds,seed_min,seed_max,seed_values,scope
J,unweighted,utility/same_residence,0.508104558583067,0.5000084175616282,0.5156705874386657,"[0.5086346707489072, 0.5000084175616282, 0.5156705874386657]",test/kernel_expanded_catchup/budget360
J,unweighted,additional_recovery/A/SEX,-0.004718821859603779,-0.009525267642519375,0.0,"[-0.004631197936291964, 0.0, -0.009525267642519375]",test/kernel_expanded_catchup/budget360
J,unweighted,additional_recovery/AB/SEX,0.0011094862597695136,-0.003374135393653055,0.006702594172961596,"[-0.003374135393653055, 0.0, 0.006702594172961596]",test/kernel_expanded_catchup/budget360
J,unweighted,additional_recovery/A/RAC1P,0.007143384934307069,0.0032027206111400197,0.009661219066045001,"[0.0032027206111400197, 0.009661219066045001, 0.008566215125736187]",test/kernel_expanded_catchup/budget360
J,unweighted,additional_recovery/AB/RAC1P,0.00569432092409361,0.0,0.009786416217781868,"[0.0, 0.007296546554498962, 0.009786416217781868]",test/kernel_expanded_catchup/budget360
J,unweighted,absolute_recovery/A/SEX,0.0023599439072471418,-0.004373956591999573,0.00866607638839223,"[0.002787711925348768, 0.00866607638839223, -0.004373956591999573]",test/kernel_expanded_catchup/budget360
J,unweighted,absolute_recovery/AB/SEX,0.012840481051525984,0.009000275648051281,0.01813243395612496,"[0.009000275648051281, 0.01813243395612496, 0.011388733550401708]",test/kernel_expanded_catchup/budget360
J,unweighted,absolute_recovery/A/RAC1P,0.025879516822172377,0.0220152237753497,0.028870688287090385,"[0.026752638404077045, 0.028870688287090385, 0.0220152237753497]",test/kernel_expanded_catchup/budget360
J,unweighted,absolute_recovery/AB/RAC1P,0.041004577760220075,0.03562827942802338,0.047932866684645914,"[0.047932866684645914, 0.03562827942802338, 0.03945258716799094]",test/kernel_expanded_catchup/budget360
J,person_weighted,utility/same_residence,0.48563476311324844,0.4708126101988969,0.496727380539537,"[0.496727380539537, 0.4708126101988969, 0.48936429860131136]",test/kernel_expanded_catchup/budget360
J,person_weighted,additional_recovery/A/SEX,-0.005244877675015543,-0.008112581504776561,0.0,"[-0.007622051520270068, 0.0, -0.008112581504776561]",test/kernel_expanded_catchup/budget360
J,person_weighted,additional_recovery/AB/SEX,0.000740133270525282,-0.0018220411067809694,0.0040424409183568155,"[-0.0018220411067809694, 0.0, 0.0040424409183568155]",test/kernel_expanded_catchup/budget360
J,person_weighted,additional_recovery/A/RAC1P,0.006180658134419407,-0.0012576118050697804,0.010613791785381244,"[-0.0012576118050697804, 0.009185794422946758, 0.010613791785381244]",test/kernel_expanded_catchup/budget360
J,person_weighted,additional_recovery/AB/RAC1P,0.005948262784195431,0.0,0.009126045879470635,"[0.0, 0.00871874247311566, 0.009126045879470635]",test/kernel_expanded_catchup/budget360
J,person_weighted,absolute_recovery/A/SEX,0.0018513060336267835,-0.003134300310852489,0.008474189790088182,"[0.0002140286216446574, 0.008474189790088182, -0.003134300310852489]",test/kernel_expanded_catchup/budget360
J,person_weighted,absolute_recovery/AB/SEX,0.012049164044341643,0.008728052975866873,0.017851044916498138,"[0.009568394240659917, 0.017851044916498138, 0.008728052975866873]",test/kernel_expanded_catchup/budget360
J,person_weighted,absolute_recovery/A/RAC1P,0.024575861217069006,0.022471264155334625,0.026443379864468097,"[0.026443379864468097, 0.024812939631404296, 0.022471264155334625]",test/kernel_expanded_catchup/budget360
J,person_weighted,absolute_recovery/AB/RAC1P,0.04015801854212916,0.030362415937688736,0.05275855327981804,"[0.05275855327981804, 0.030362415937688736, 0.03735308640888069]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,utility/same_residence,0.5076148963015462,0.5055986818085985,0.5094870535690034,"[0.5055986818085985, 0.5094870535690034, 0.5077589535270368]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,additional_recovery/A/SEX,0.000757006001184668,0.0,0.002271018003554004,"[0.002271018003554004, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,additional_recovery/AB/SEX,-0.0008948277255032,-0.0026844831765096,0.0,"[-0.0026844831765096, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,additional_recovery/A/RAC1P,0.009011528155454437,0.0,0.01842517744308325,"[0.0, 0.008609407023280058, 0.01842517744308325]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,additional_recovery/AB/RAC1P,0.0034897460369100277,0.0,0.010469238110730084,"[0.0, 0.0, 0.010469238110730084]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,absolute_recovery/A/SEX,0.00783577176803559,0.005151311050519802,0.009689927865194736,"[0.009689927865194736, 0.00866607638839223, 0.005151311050519802]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,absolute_recovery/AB/SEX,0.01083616706625327,0.004686139377440113,0.01813243395612496,"[0.009689927865194736, 0.01813243395612496, 0.004686139377440113]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,absolute_recovery/A/RAC1P,0.027747660043319744,0.023549917792937025,0.031874186092696766,"[0.023549917792937025, 0.02781887624432544, 0.031874186092696766]",test/kernel_expanded_catchup/budget360
leace_A0,unweighted,absolute_recovery/AB/RAC1P,0.0388000028730365,0.028331732873524418,0.047932866684645914,"[0.047932866684645914, 0.028331732873524418, 0.04013540906093915]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,utility/same_residence,0.48463651979647326,0.47683924887005236,0.4951420418707641,"[0.4951420418707641, 0.47683924887005236, 0.4819282686486033]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,additional_recovery/A/SEX,0.0003287413902477813,0.0,0.000986224170743344,"[0.000986224170743344, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,additional_recovery/AB/SEX,-0.000856043678260939,-0.002568131034782817,0.0,"[-0.002568131034782817, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,additional_recovery/A/RAC1P,0.009596500952091302,0.0,0.02148700930995817,"[0.0, 0.007302493546315736, 0.02148700930995817]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,additional_recovery/AB/RAC1P,0.003225558880133761,0.0,0.009676676640401283,"[0.0, 0.0, 0.009676676640401283]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,absolute_recovery/A/SEX,0.007424925098890108,0.004978281193924072,0.00882230431265807,"[0.00882230431265807, 0.008474189790088182, 0.004978281193924072]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,absolute_recovery/AB/SEX,0.010452987095555422,0.004685612057510058,0.017851044916498138,"[0.00882230431265807, 0.017851044916498138, 0.004685612057510058]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,absolute_recovery/A/RAC1P,0.0279917040347409,0.022929638754773274,0.03334448167991155,"[0.027700991669537878, 0.022929638754773274, 0.03334448167991155]",test/kernel_expanded_catchup/budget360
leace_A0,person_weighted,absolute_recovery/AB/RAC1P,0.037435314638067485,0.021643673464573077,0.05275855327981804,"[0.05275855327981804, 0.021643673464573077, 0.037903717169811335]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,utility/same_residence,0.5129278720113436,0.507701734526862,0.5185438096354212,"[0.507701734526862, 0.5185438096354212, 0.5125380718717477]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,additional_recovery/A/SEX,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,additional_recovery/AB/SEX,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,additional_recovery/A/RAC1P,0.0037463019312569865,0.0,0.011238905793770959,"[0.0, 0.011238905793770959, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,additional_recovery/AB/RAC1P,0.0028595246282634434,0.0,0.00857857388479033,"[0.0, 0.00857857388479033, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,absolute_recovery/A/SEX,0.007078765766850921,0.005151311050519802,0.00866607638839223,"[0.007418909861640732, 0.00866607638839223, 0.005151311050519802]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,absolute_recovery/AB/SEX,0.01173099479175647,0.004686139377440113,0.01813243395612496,"[0.012374411041704336, 0.01813243395612496, 0.004686139377440113]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,absolute_recovery/A/RAC1P,0.022482433819122294,0.013449008649613514,0.030448375014816342,"[0.023549917792937025, 0.030448375014816342, 0.013449008649613514]",test/kernel_expanded_catchup/budget360
splince_A0,unweighted,absolute_recovery/AB/RAC1P,0.03816978146438991,0.02966617095020907,0.047932866684645914,"[0.047932866684645914, 0.03691030675831475, 0.02966617095020907]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,utility/same_residence,0.48975500965108115,0.48620262986107865,0.4950358844633348,"[0.4950358844633348, 0.48802651462882995, 0.48620262986107865]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,additional_recovery/A/SEX,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,additional_recovery/AB/SEX,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,additional_recovery/A/RAC1P,0.004864492893247825,0.0,0.014593478679743477,"[0.0, 0.014593478679743477, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,additional_recovery/AB/RAC1P,0.003496320538198594,0.0,0.010488961614595782,"[0.0, 0.010488961614595782, 0.0]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,absolute_recovery/A/SEX,0.007096183708642327,0.004978281193924072,0.008474189790088182,"[0.007836080141914725, 0.008474189790088182, 0.004978281193924072]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,absolute_recovery/AB/SEX,0.011309030773816361,0.004685612057510058,0.017851044916498138,"[0.011390435347440886, 0.017851044916498138, 0.004685612057510058]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,absolute_recovery/A/RAC1P,0.023259695975897426,0.011857472369953381,0.030220623888201015,"[0.027700991669537878, 0.030220623888201015, 0.011857472369953381]",test/kernel_expanded_catchup/budget360
splince_A0,person_weighted,absolute_recovery/AB/RAC1P,0.03770607629613232,0.028227040529410052,0.05275855327981804,"[0.05275855327981804, 0.03213263507916886, 0.028227040529410052]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,utility/same_residence,0.5097759992164859,0.5075141866742889,0.5124446564147664,"[0.5093691545604022, 0.5075141866742889, 0.5124446564147664]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,additional_recovery/A/SEX,0.005658550358985141,0.0031705016042522516,0.010603807674775534,"[0.003201341797927637, 0.010603807674775534, 0.0031705016042522516]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,additional_recovery/AB/SEX,0.0028582793752511826,0.0011374501070428034,0.0044842866456900055,"[0.002953101373020739, 0.0011374501070428034, 0.0044842866456900055]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,additional_recovery/A/RAC1P,0.016489217413304297,0.010852028214946241,0.022795760199938897,"[0.015819863825027758, 0.010852028214946241, 0.022795760199938897]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,additional_recovery/AB/RAC1P,0.013376678039560034,0.0,0.02266955964158779,"[0.0, 0.017460474477092314, 0.02266955964158779]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,absolute_recovery/A/SEX,0.012737316125836062,0.008321812654772054,0.019269884063167764,"[0.01062025165956837, 0.019269884063167764, 0.008321812654772054]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,absolute_recovery/AB/SEX,0.014589274167007652,0.009170426023130118,0.019269884063167764,"[0.015327512414725075, 0.019269884063167764, 0.009170426023130118]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,absolute_recovery/A/RAC1P,0.035225349301169606,0.030061497435991624,0.03936978161796478,"[0.03936978161796478, 0.030061497435991624, 0.03624476884955241]",test/kernel_expanded_catchup/budget360
optnet16_L1,unweighted,absolute_recovery/AB/RAC1P,0.048686934875686504,0.04579220735061673,0.05233573059179686,"[0.047932866684645914, 0.04579220735061673, 0.05233573059179686]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,utility/same_residence,0.4852653692233417,0.47726886692815434,0.49293871953754775,"[0.49293871953754775, 0.47726886692815434, 0.48558852120432294]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,additional_recovery/A/SEX,0.0041056055411598695,0.0019108511174388276,0.008423226203440604,"[0.0019108511174388276, 0.008423226203440604, 0.0019827393026001783]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,additional_recovery/AB/SEX,0.0015121822305880956,-0.0009536289229693518,0.0031995825745213535,"[0.0031995825745213535, -0.0009536289229693518, 0.0022905930402122854]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,additional_recovery/A/RAC1P,0.013433231082039532,0.0039892956703644344,0.026369791338192172,"[0.009940606237561989, 0.0039892956703644344, 0.026369791338192172]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,additional_recovery/AB/RAC1P,0.012331786074277392,0.0,0.026746231329330294,"[0.0, 0.010249126893501881, 0.026746231329330294]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,absolute_recovery/A/SEX,0.011201789249802196,0.006961020496524251,0.016897415993528786,"[0.009746931259353553, 0.016897415993528786, 0.006961020496524251]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,absolute_recovery/AB/SEX,0.012821213004404456,0.006976205097722343,0.016897415993528786,"[0.01459001792196224, 0.016897415993528786, 0.006976205097722343]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,absolute_recovery/A/RAC1P,0.03182843416468913,0.019616440878821972,0.038227263708145554,"[0.037641597907099866, 0.019616440878821972, 0.038227263708145554]",test/kernel_expanded_catchup/budget360
optnet16_L1,person_weighted,absolute_recovery/AB/RAC1P,0.04654154183221112,0.03189280035807496,0.05497327185874035,"[0.05275855327981804, 0.03189280035807496, 0.05497327185874035]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,utility/same_residence,0.5136915485513899,0.5115173182359743,0.5167369511040333,"[0.5128203763141622, 0.5115173182359743, 0.5167369511040333]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,additional_recovery/A/SEX,-0.001634328228025413,-0.0029355422888603933,0.0,"[-0.001967442395215846, 0.0, -0.0029355422888603933]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,additional_recovery/AB/SEX,-0.0015319268714945045,-0.006559937355921641,0.001964156741438128,"[-0.006559937355921641, 0.0, 0.001964156741438128]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,additional_recovery/A/RAC1P,0.0036367340949484315,0.0,0.010910202284845294,"[0.0, 0.0, 0.010910202284845294]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,additional_recovery/AB/RAC1P,-0.0004968418089803528,-0.0014905254269410584,0.0,"[0.0, -0.0014905254269410584, 0.0]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,absolute_recovery/A/SEX,0.005444437538825508,0.002215768761659409,0.00866607638839223,"[0.005451467466424886, 0.00866607638839223, 0.002215768761659409]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,absolute_recovery/AB/SEX,0.010199067920261965,0.005814473685782695,0.01813243395612496,"[0.005814473685782695, 0.01813243395612496, 0.006650296118878241]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,absolute_recovery/A/RAC1P,0.02237286598281374,0.019209469221045383,0.024359210934458808,"[0.023549917792937025, 0.019209469221045383, 0.024359210934458808]",test/kernel_expanded_catchup/budget360
optnet16_L2,unweighted,absolute_recovery/AB/RAC1P,0.03481341502714611,0.02684120744658336,0.047932866684645914,"[0.047932866684645914, 0.02684120744658336, 0.02966617095020907]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,utility/same_residence,0.48885098477075234,0.48123435050738667,0.4968862452607115,"[0.4968862452607115, 0.48123435050738667, 0.4884323585441589]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,additional_recovery/A/SEX,-0.002486355090007127,-0.0073151834302489505,0.0,"[-0.00014388183977243063, 0.0, -0.0073151834302489505]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,additional_recovery/AB/SEX,-0.002732287374319372,-0.00422834503268088,0.0,"[-0.00422834503268088, 0.0, -0.003968517090277235]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,additional_recovery/A/RAC1P,0.003971189304495211,0.0,0.011913567913485634,"[0.0, 0.0, 0.011913567913485634]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,additional_recovery/AB/RAC1P,-0.0013745553575276552,-0.0041236660725829655,0.0,"[0.0, -0.0041236660725829655, 0.0]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,absolute_recovery/A/SEX,0.004609828618635199,-0.002336902236324878,0.008474189790088182,"[0.007692198302142295, 0.008474189790088182, -0.002336902236324878]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,absolute_recovery/AB/SEX,0.008576743399496989,0.0007170949672328231,0.017851044916498138,"[0.007162090314760006, 0.017851044916498138, 0.0007170949672328231]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,absolute_recovery/A/RAC1P,0.02236639238714481,0.015627145208457538,0.027700991669537878,"[0.027700991669537878, 0.015627145208457538, 0.023771040283439016]",test/kernel_expanded_catchup/budget360
optnet16_L2,person_weighted,absolute_recovery/AB/RAC1P,0.03283520040040607,0.01752000739199011,0.05275855327981804,"[0.05275855327981804, 0.01752000739199011, 0.028227040529410052]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,utility/same_residence,0.5126149531699545,0.5113232150009823,0.5150571192926148,"[0.5114645252162664, 0.5113232150009823, 0.5150571192926148]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,additional_recovery/A/SEX,0.0013697533039416232,-0.0018249409812568507,0.00511492963300908,"[-0.0018249409812568507, 0.00511492963300908, 0.0008192712600726404]",test/kernel_expanded_catchup/budget360
