ce_mean_over_anchors,ce_per_anchor,family,fixed_decoder_ce_mean,frozen_release,independent_probe_ce_mean,recovery_increment_over_J_point,recovery_over_H,recovery_over_H_ci95_unadjusted,role,rows_per_anchor,selection_per_anchor,task_minus_H,task_minus_H_ci95_unadjusted,task_minus_J,task_minus_J_ci95_unadjusted,weighting
0.49155107516878793,"[0.4907668701399916, 0.490494478183072, 0.4933918771833001]",J,,J,0.49155107516878793,,,,utility:A/same_residence,"[23684, 23684, 23684]","[""mlp_120"", ""hist_gb_5"", ""hist_gb_20""]",-0.021480049799684185,"[-0.02505977480049346, -0.01790032479887491]",,,PWGTP
0.6648979751262561,"[0.6628009720043461, 0.6661700011965097, 0.6657229521779128]",Q,,T0_L_0.01_a17,,-0.012839664127567773,0.004697157987080341,"[0.0037757692005612577, 0.0056185467735994235]",attack:A/SEX,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_20""]",,,,,unweighted
0.669811911981096,"[0.6682383666267875, 0.6708455197444144, 0.6703518495720862]",Q,,T0_L_0.01_a17,,-0.01322449047592528,0.004376923338300552,"[0.003188092766489918, 0.005565753910111186]",attack:A/SEX,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_20""]",,,,,PWGTP
1.2419587530148801,"[1.2404540284327743, 1.245230460205012, 1.2401917704068541]",Q,,T0_L_0.01_a17,,-0.038402254011139184,0.005267440504963992,"[0.003982532414946239, 0.006552348594981744]",attack:A/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_5""]",,,,,unweighted
1.2500251087831453,"[1.249451083455117, 1.2526448703217932, 1.2479793725725261]",Q,,T0_L_0.01_a17,,-0.03657312559828646,0.006034610357812056,"[0.004427561045555181, 0.007641659670068931]",attack:A/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_5""]",,,,,PWGTP
0.6600892157575399,"[0.6571130544031577, 0.6621752720447976, 0.6609793208246644]",Q,,T0_L_0.01_a17,,-0.008872552324419919,0.0038209416620302032,"[0.003097399865460578, 0.0045444834585998285]",attack:AB/SEX,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""sampled_hist_gb_5""]",,,,,unweighted
0.6644926425187011,"[0.6619904980948924, 0.6659894994131047, 0.6654979300481062]",Q,,T0_L_0.01_a17,,-0.009378751569368876,0.003430434137774529,"[0.00249964535998937, 0.0043612229155596885]",attack:AB/SEX,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""sampled_hist_gb_5""]",,,,,PWGTP
1.2278630371051544,"[1.2210177107484614, 1.2377573461574134, 1.2248140544095882]",Q,,T0_L_0.01_a17,,-0.026698196001001165,0.000491031665641837,"[-0.0010671901092885409, 0.002049253440572215]",attack:AB/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""mlp_360"", ""hist_gb_5""]",,,,,unweighted
1.23822555594525,"[1.2330589823549738, 1.2465189949789344, 1.2350986905018422]",Q,,T0_L_0.01_a17,,-0.028704925121307324,0.0012957035530781794,"[-0.0005546978594173581, 0.0031461049655737167]",attack:AB/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""mlp_360"", ""hist_gb_5""]",,,,,PWGTP
0.4912748350647718,"[0.49045374052745233, 0.4908006894444321, 0.4925700752224311]",Q,0.49704891430942794,T0_L_0.01_a17,0.4912748350647718,,,,utility:A/same_residence,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_20""]",-0.02625296635020788,"[-0.029277418821788727, -0.02322851387862703]",-0.003266119525787647,"[-0.005026947292430687, -0.0015052917591446074]",unweighted
0.48755545002550277,"[0.48698246708757337, 0.4871429813065098, 0.4885409016824252]",Q,0.4926045229912364,T0_L_0.01_a17,0.48755545002550277,,,,utility:A/same_residence,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_20""]",-0.0254756749429694,"[-0.02933246289388806, -0.02161888699205074]",-0.003995625143285218,"[-0.006119839362743348, -0.0018714109238270886]",PWGTP
0.6644855643766303,"[0.6616534028315098, 0.6661587856609473, 0.6656445046374339]",D17,,T0_U_unconstrained_a17,,-0.012427253377941937,0.005109568736706178,"[0.004052620392491097, 0.006166517080921259]",attack:A/SEX,"[23684, 23684, 23684]","[""hist_gb_20"", ""hist_gb_5"", ""hist_gb_20""]",,,,,unweighted
0.6687002488919367,"[0.6666868610287604, 0.6698876213363489, 0.6695262643107007]",D17,,T0_U_unconstrained_a17,,-0.012112827386765751,0.0054885864274600805,"[0.00413150929390239, 0.006845663561017771]",attack:A/SEX,"[23684, 23684, 23684]","[""hist_gb_20"", ""hist_gb_5"", ""hist_gb_20""]",,,,,PWGTP
1.2414193743495388,"[1.2390187424967376, 1.2451822287862278, 1.240057151765651]",D17,,T0_U_unconstrained_a17,,-0.0378628753457978,0.005806819170305379,"[0.004255293785675912, 0.007358344554934846]",attack:A/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_5""]",,,,,unweighted
1.2502573348284167,"[1.2488379662702696, 1.2532426426746022, 1.2486913955403787]",D17,,T0_U_unconstrained_a17,,-0.03680535164355798,0.005802384312540536,"[0.0038742276257320548, 0.007730540999349017]",attack:A/RAC1P,"[23684, 23684, 23684]","[""hist_gb_5"", ""hist_gb_5"", ""hist_gb_5""]",,,,,PWGTP
0.6602589651976906,"[0.6581277837166059, 0.6620626323941419, 0.6605864794823239]",D17,,T0_U_unconstrained_a17,,-0.00904230176457048,0.0036511922218796402,"[0.0027698812843794892, 0.004532503159379791]",attack:AB/SEX,"[23684, 23684, 23684]","[""hist_gb_20"", ""hist_gb_20"", ""hist_gb_5""]",,,,,unweighted
0.6643943599746122,"[0.66347306797607, 0.6656042404396336, 0.6641057715081332]",D17,,T0_U_unconstrained_a17,,-0.009280469025280104,0.003528716681863301,"[0.0024020429064496654, 0.0046553904572769365]",attack:AB/SEX,"[23684, 23684, 23684]","[""hist_gb_20"", ""hist_gb_20"", ""hist_gb_5""]",,,,,PWGTP
