seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,80,960,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.4188842501025647,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,hist_gb_20,histgb,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.3852059169439599,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,hist_gb_5,histgb,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.3642517919652164,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,logistic,logistic,False,True,False,"[500,1548]",2048,True,,,4,,,,,,,,,,0.00218158308416605,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,15,120,320,,81920,40,40,1250000,1950000,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,,,0.08522641705349088,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,,,2,,,,,,,,,,0.0016500420169904828,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,15,120,320,,81920,40,40,1250001,1950001,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,,,0.08195258397608995,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,,,4,,,,,,,,,,0.0018306659767404199,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,10,80,320,,81920,40,40,1250002,1950002,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,,,0.07715095800813287,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,civilian_at_work,logistic,logistic,False,True,False,"[665,1383]",2048,True,,,4,,,,,,,,,,0.0017458329675719142,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,10,80,320,,81920,40,40,1250003,1950003,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,,,0.08287874993402511,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,public_coverage,logistic,logistic,False,True,False,"[1531,517]",2048,True,,,3,,,,,,,,,,0.0018049170030280948,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,A_binary_bank_leace,A_binary_bank,True,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,10,80,320,,81920,40,40,1250004,1950004,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,,,0.0830472920788452,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
