seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,911,107362.0,0.5899293977384922,0.534485523084583,0.5608405169551184,0.5997812215810655,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1073,126367.0,0.5634698932474459,0.6179293586739565,0.5894444053527155,0.5997812215810656,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,853,97771.0,0.5495085454787206,0.48837378420143623,0.5171406432734466,0.567761662136956,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1118,128780.0,0.562944556608169,0.6220643378725084,0.5910297120915046,0.567761662136956,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,validation,0,1009,1009.0,0.5085685483870968,859,859.0,0.590221187427241,0.5024777006937562,0.5428265524625268,0.6000523493685039,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,validation,1,975,975.0,0.49143145161290325,1125,1125.0,0.5537777777777778,0.638974358974359,0.5933333333333334,0.6000523493685039,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,development_evaluation,0,959,959.0,0.4865550481988838,797,797.0,0.560853199498118,0.46611053180396245,0.5091116173120729,0.5709576840170303,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,development_evaluation,1,1012,1012.0,0.5134449518011162,1174,1174.0,0.5638841567291312,0.6541501976284585,0.605672461116194,0.5709576840170303,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,859,100904.0,0.5920280662808214,0.5041223976573642,0.5445504391462286,0.5981797167908737,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1125,132825.0,0.5576058723884811,0.6427492840406144,0.5971578883715305,0.5981797167908737,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,797,91283.0,0.5546815946014044,0.460258158349241,0.5030776032946997,0.5682660900858109,True,True,,997,True
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1174,135268.0,0.5610417837182482,0.6511957165289469,0.6027663824565445,0.5682660900858109,True,True,,1051,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,validation,0,2434,2434.0,0.8156836461126006,2518,2518.0,0.9066719618745036,0.937962202136401,0.9220516962843296,0.9017748562037798,True,True,,1652,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,validation,1,550,550.0,0.18431635388739948,466,466.0,0.6759656652360515,0.5727272727272728,0.6200787401574803,0.9017748562037796,True,True,,396,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,development_evaluation,0,2439,2439.0,0.817907444668008,2542,2542.0,0.9051927616050354,0.9434194341943419,0.9239108612728367,0.9083893785530858,True,True,,1652,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,development_evaluation,1,543,543.0,0.18209255533199195,440,440.0,0.6863636363636364,0.5561694290976059,0.6144455747711088,0.9083893785530858,True,True,,396,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2518,300959.0,0.9064390830644706,0.9472026721572739,0.9263726598818947,0.9060062586236903,True,True,,1652,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,validation_person_weighted,1,550,60383.0,0.17332012973965957,466,47431.0,0.6794079821213974,0.5336766970836162,0.5977887843879274,0.9060062586236904,True,True,,396,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2542,287166.0,0.8990340082043139,0.9436973407657864,0.9208244091300618,0.9017911645436983,True,True,,1652,True
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,440,46975.0,0.6721021820117083,0.5212825677773008,0.5871621056155327,0.9017911645436982,True,True,,396,True
