seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures
0,transfer,A_binary_bank,A_binary_bank,False,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,20,160,0.47993521333717876,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,25,200,0.4798697417763594,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,30,240,0.47952830544290986,True,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,35,280,0.48006918592399056,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,40,320,0.48001963323754687,False,320,81920
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,0,0,0.6941290876653448,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,5,60,0.6897698072769783,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,10,120,0.6891739571966725,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,15,180,0.6890578807051588,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,20,240,0.6882460169478288,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,25,300,0.6874722913050597,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,30,360,0.6874180097551144,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,35,420,0.6870166562286243,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,40,480,0.6864099625099906,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,45,540,0.6857753337092698,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,50,600,0.6868415289307419,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,55,660,0.6857660761641521,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,60,720,0.684958220603349,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,65,780,0.684445789891627,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,70,840,0.6851239787530948,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,75,900,0.6840654272083875,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,80,960,0.6847427795643211,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,85,1020,0.6838880715829554,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,90,1080,0.6857536337408382,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,95,1140,0.6847771790093887,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,100,1200,0.6840800625350671,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,105,1260,0.6834431987430857,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,110,1320,0.6829081577833523,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,115,1380,0.6832847235973016,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,120,1440,0.682776735156439,True,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,0,0,0.6923435550435699,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,5,60,0.6896771013942387,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,10,120,0.6883409939899696,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,15,180,0.6883432837433939,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,20,240,0.6876602507053934,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,25,300,0.6872126727128228,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,30,360,0.6862300759667724,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,35,420,0.6858461612082346,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,40,480,0.6853718289188199,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,45,540,0.6846400121939554,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,50,600,0.6844297329745423,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,55,660,0.6845386982290041,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,60,720,0.6853913610790016,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,65,780,0.6835154580531525,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,70,840,0.6838908177318921,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,75,900,0.6837432570020062,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,80,960,0.6835818365619148,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,85,1020,0.6828428912831864,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,90,1080,0.6835337978123028,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,95,1140,0.6824776581400867,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,100,1200,0.6824523669545304,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,105,1260,0.682738716784444,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,110,1320,0.6818186680668272,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,115,1380,0.682011084015121,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,120,1440,0.6816241820414403,True,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,0,0,2.196099947117778,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,5,60,1.2996411682837499,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,10,120,1.2603788013212955,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,15,180,1.2560033013822318,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,20,240,1.2562484591473406,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,25,300,1.2558196587582355,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,30,360,1.2536646396753948,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,35,420,1.2543395299395637,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,40,480,1.254172379485013,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,45,540,1.253250821984369,False,1440,359160
