beta,seed,release,split,rank,rank_tolerance,metric,coordinate,value
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,10,7.620264317201114e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,11,7.616007957007277e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,12,4.541988618284906e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,13,6.838995768320537e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,14,6.456115275690069e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,15,1.7226841175873656e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,0,1.6789805218598313e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,1,7.310091473102606e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,2,1.3754520815211072e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,3,1.4713915168253754e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,4,1.4633873014635973e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,5,1.3468977361460923e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,6,1.2211998757331163e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,7,5.665334833998817e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,8,8.571113633434302e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,9,1.9082902043682384e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,10,7.556936016248835e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,11,6.451325688500773e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,12,1.693410099288938e-15
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,13,6.106550775589146e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,14,6.077570978750542e-16
beta_0p1,0,I,source_validation,17,1e-12,affine_per_coordinate_mse,15,1.2456061406705446e-15
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,0,1.0375578121569773
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,1,1.0351422418203997
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,2,0.9750677344807709
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,3,0.9852156941423459
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,4,1.0449103277810163
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,5,1.0149874253989823
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,6,0.9938024083599571
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,7,1.0459225809466342
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,8,0.9687395256866196
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,9,0.9756343957422708
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,10,0.97858520125265
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,11,0.9488550732997493
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,12,1.0018383456210087
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,13,0.9545327194285073
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,14,1.0603772333333958
beta_0p1,0,I,source_validation,17,1e-12,prior_per_coordinate_mse,15,0.9705334707511628
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,0,2.2906018366519736e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,1,7.257927451817885e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,2,1.9238081801821775e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,3,1.9757063886929385e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,4,2.1245788504157405e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,5,1.7921946346146272e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,6,1.7096235807427318e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,7,4.921747804596936e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,8,9.891214052735294e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,9,3.305309532377271e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,10,8.161922516166226e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,11,8.8776458945910235e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,12,4.593634092715872e-15
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,13,5.906182256368241e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,14,5.841202237686021e-16
beta_0p1,0,I,development_evaluation,17,1e-12,direct_per_coordinate_mse,15,1.7422952596587668e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,0,1.4945729033446849e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,1,6.746643516605329e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,2,1.3567260138413544e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,3,1.3909012164563295e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,4,1.538047350112035e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,5,1.3526907065012149e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,6,1.3583890273598407e-15
