seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,30,240,0.48715322199947164,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,35,280,0.4898775477087526,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,40,320,0.4916834454262125,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,0,0,0.6225386991097076,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,5,40,0.5255753455832373,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,10,80,0.5101288578574478,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,15,120,0.5085378610014737,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,20,160,0.5076889245332594,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,25,200,0.50767872158646,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,30,240,0.5074576783572347,True,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,35,280,0.5101181648890936,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,40,320,0.5124517642095868,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,0,0,0.6973929446604193,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,5,40,0.6771893041800121,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,10,80,0.6764735222976783,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,15,120,0.6763502285661447,True,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,20,160,0.6794313228842694,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,25,200,0.6805564850438632,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,30,240,0.6839320822607088,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,35,280,0.6880889667225849,False,,
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,40,320,0.6918258791937625,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,0,0,0.7077904530785998,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,5,40,0.39943557794127604,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,10,80,0.32746457715519195,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,15,120,0.30902113632803485,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,20,160,0.3033903706956897,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,25,200,0.30215402176185696,False,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,30,240,0.30108186805534154,False,,
