comparison,left,right,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd,per_seed
historical_warmup,W_historical,I,transfer,income_binary,primary,validation,log_loss,3,3,True,-0.012443897287035913,0.008675252551786531,"{""0"":-0.017213004288708977,""1"":-0.017688349005900272,""2"":-0.002430338566498491}"
historical_warmup,W_historical,I,transfer,income_binary,primary,development_evaluation,log_loss,3,3,True,-0.00783434629812337,0.00227938574286094,"{""0"":-0.006112078943039723,""1"":-0.010419123132750674,""2"":-0.006971836818579713}"
historical_warmup,W_historical,I,transfer,income_binary,primary,validation_person_weighted,log_loss,3,3,True,-0.015175670296124025,0.009200603001561837,"{""0"":-0.01923037237696351,""1"":-0.021652473468151023,""2"":-0.004644165043257542}"
historical_warmup,W_historical,I,transfer,income_binary,primary,development_evaluation_person_weighted,log_loss,3,3,True,-0.006601029027539655,0.001190839491486017,"{""0"":-0.007880910745045822,""1"":-0.005525742574599868,""2"":-0.006396433762973275}"
historical_warmup,W_historical,I,transfer,income_binary,family:logistic,validation,log_loss,3,3,True,-0.018133810076362517,0.005715799982506982,"{""0"":-0.020252488780993005,""1"":-0.02248776637918526,""2"":-0.01166117506890929}"
historical_warmup,W_historical,I,transfer,income_binary,family:logistic,development_evaluation,log_loss,3,3,True,-0.01137796059633787,0.0021378058432508316,"{""0"":-0.0094193424189154,""1"":-0.01365845182054748,""2"":-0.01105608754955073}"
historical_warmup,W_historical,I,transfer,income_binary,family:logistic,validation_person_weighted,log_loss,3,3,True,-0.020779830853914938,0.005805045190228172,"{""0"":-0.021229651130481975,""1"":-0.026346880310594345,""2"":-0.014762961120668494}"
historical_warmup,W_historical,I,transfer,income_binary,family:logistic,development_evaluation_person_weighted,log_loss,3,3,True,-0.01132173023199142,0.001687977330320881,"{""0"":-0.010782169244545392,""1"":-0.013213522724220272,""2"":-0.009969498727208592}"
historical_warmup,W_historical,I,transfer,income_binary,family:mlp,validation,log_loss,3,3,True,-0.008368388915503863,0.011416947867171647,"{""0"":-0.011783088835281286,""1"":-0.017688349005900272,""2"":0.004366271094669971}"
historical_warmup,W_historical,I,transfer,income_binary,family:mlp,development_evaluation,log_loss,3,3,True,-0.004502011497326541,0.005390521918933044,"{""0"":0.00012943671947873714,""1"":-0.010419123132750674,""2"":-0.003216348078707687}"
historical_warmup,W_historical,I,transfer,income_binary,family:mlp,validation_person_weighted,log_loss,3,3,True,-0.011657372273064256,0.012512010149654619,"{""0"":-0.015694414198708706,""1"":-0.021652473468151023,""2"":0.0023747708476669627}"
historical_warmup,W_historical,I,transfer,income_binary,family:mlp,development_evaluation_person_weighted,log_loss,3,3,True,-0.001902321326772501,0.0032338308825202605,"{""0"":0.0006909109042235739,""1"":-0.005525742574599868,""2"":-0.0008721323099412093}"
historical_warmup,W_historical,I,transfer,civilian_at_work,primary,validation,log_loss,3,3,True,-0.012336923791385623,0.002784051862106731,"{""0"":-0.011022294773985253,""1"":-0.010453616785405462,""2"":-0.015534859814766155}"
historical_warmup,W_historical,I,transfer,civilian_at_work,primary,development_evaluation,log_loss,3,3,True,-0.013813548795270117,0.002388543091586426,"{""0"":-0.01459210414078399,""1"":-0.01113286832491428,""2"":-0.015715673920112083}"
historical_warmup,W_historical,I,transfer,civilian_at_work,primary,validation_person_weighted,log_loss,3,3,True,-0.010182450834897919,0.0030074887545471856,"{""0"":-0.008052112588142757,""1"":-0.00887249199866219,""2"":-0.013622747917888811}"
historical_warmup,W_historical,I,transfer,civilian_at_work,primary,development_evaluation_person_weighted,log_loss,3,3,True,-0.010885744345193127,0.0035424429368329327,"{""0"":-0.014278912311440406,""1"":-0.007210850395117263,""2"":-0.011167470329021711}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,validation,log_loss,3,3,True,-0.02211698985791503,0.0021010620026014944,"{""0"":-0.02006533347347922,""1"":-0.02426419715593464,""2"":-0.02202143894433123}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,development_evaluation,log_loss,3,3,True,-0.018411687383494246,0.0014290383336193146,"{""0"":-0.017475842752143478,""1"":-0.01770262342973722,""2"":-0.020056595968602042}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,validation_person_weighted,log_loss,3,3,True,-0.01801183441857875,0.003201698505793278,"{""0"":-0.015655674129378627,""1"":-0.016722678287364068,""2"":-0.021657150838993555}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,development_evaluation_person_weighted,log_loss,3,3,True,-0.013899081761149326,0.004749063177983066,"{""0"":-0.015607223857999342,""1"":-0.008532219004568353,""2"":-0.017557802420880286}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,validation,log_loss,3,3,True,-0.01229518910988551,0.0028270068581459514,"{""0"":-0.011022294773985253,""1"":-0.010328412740905124,""2"":-0.015534859814766155}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,development_evaluation,log_loss,3,3,True,-0.014165316001790515,0.001802063306663272,"{""0"":-0.01459210414078399,""1"":-0.012188169944475469,""2"":-0.015715673920112083}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,validation_person_weighted,log_loss,3,3,True,-0.009784028082548893,0.003329709130312556,"{""0"":-0.008052112588142757,""1"":-0.0076772237416151135,""2"":-0.013622747917888811}"
historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,development_evaluation_person_weighted,log_loss,3,3,True,-0.011002841759221726,0.00336140976952891,"{""0"":-0.014278912311440406,""1"":-0.007562142637203062,""2"":-0.011167470329021711}"
historical_warmup,W_historical,I,transfer,public_coverage,primary,validation,log_loss,3,3,True,-0.012613527127306215,0.0036911820376303735,"{""0"":-0.013979478459858974,""1"":-0.008434059282753426,""2"":-0.015427043639306248}"
historical_warmup,W_historical,I,transfer,public_coverage,primary,development_evaluation,log_loss,3,3,True,-0.012549350140131274,0.0054218089094147884,"{""0"":-0.00739729729951577,""1"":-0.012045072111875721,""2"":-0.018205681009002328}"
historical_warmup,W_historical,I,transfer,public_coverage,primary,validation_person_weighted,log_loss,3,3,True,-0.009832690772526428,0.0010138219060414422,"{""0"":-0.008942296949994266,""1"":-0.009619682557888032,""2"":-0.010936092809696984}"
historical_warmup,W_historical,I,transfer,public_coverage,primary,development_evaluation_person_weighted,log_loss,3,3,True,-0.012394151408505194,0.004097066138673544,"{""0"":-0.007925744657999556,""1"":-0.013282636842028739,""2"":-0.015974072725487287}"
historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,validation,log_loss,3,3,True,-0.018882607282439512,0.00301740675184651,"{""0"":-0.02099646349745976,""1"":-0.020224314710552527,""2"":-0.015427043639306248}"
historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,development_evaluation,log_loss,3,3,True,-0.01828666327638212,0.0017095318385705802,"{""0"":-0.016619061757033537,""1"":-0.020035247063110495,""2"":-0.018205681009002328}"
historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,validation_person_weighted,log_loss,3,3,True,-0.015106766771062985,0.004461001221249965,"{""0"":-0.01457396683267903,""1"":-0.01981024067081294,""2"":-0.010936092809696984}"
historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,development_evaluation_person_weighted,log_loss,3,3,True,-0.017394693768514102,0.0012305194993505668,"{""0"":-0.018128565431002053,""1"":-0.018081443149052967,""2"":-0.015974072725487287}"
historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,validation,log_loss,3,3,True,-0.01142265584219567,0.004952485229006343,"{""0"":-0.013979478459858974,""1"":-0.005714334430452217,""2"":-0.014574154636275816}"
historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,development_evaluation,log_loss,3,3,True,-0.008970167580227858,0.0031582474076809032,"{""0"":-0.00739729729951577,""1"":-0.012606003709943359,""2"":-0.006907201731224444}"
historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,validation_person_weighted,log_loss,3,3,True,-0.010007295278030348,0.002657994666458538,"{""0"":-0.008942296949994266,""1"":-0.008046950771080974,""2"":-0.013032638113015804}"
historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,development_evaluation_person_weighted,log_loss,3,3,True,-0.0075951691181651015,0.006043606852681897,"{""0"":-0.007925744657999556,""1"":-0.013466703662108948,""2"":-0.001393059034386801}"
warmup,beta_0p1_W,I,transfer,same_residence,primary,validation,log_loss,3,3,True,-0.001059947051271955,0.003962120980705659,"{""0"":-0.005631530869397827,""1"":0.001380339877565806,""2"":0.0010713498380161557}"
warmup,beta_0p1_W,I,transfer,same_residence,primary,development_evaluation,log_loss,3,3,True,-0.00011372107725841445,0.00028595327838636206,"{""0"":2.0426146073726503e-05,""1"":8.049570369283998e-05,""2"":-0.0004420850815418098}"
