seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,beta_0p1_W,commute_over20,logistic,logistic,True,True,True,True,,False,False,2048,"[997,1051]",True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,879,105405.0,0.5882073905412457,0.5232111663389565,0.5538087751893669,0.6133755687866088,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,logistic,logistic,True,True,True,True,,False,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1105,128324.0,0.5597160312957825,0.6233185802308426,0.5898075991361259,0.6133755687866089,True,True,,1051,True
0,transfer,beta_0p1_W,commute_over20,logistic,logistic,True,True,True,True,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,808,92717.0,0.5416913834571869,0.4565403145168621,0.49548407464225286,0.5672296339261271,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,logistic,logistic,True,True,True,True,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1163,133834.0,0.5532824244960175,0.6353815395440231,0.5914967548676985,0.5672296339261271,True,True,,1051,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,validation,0,1009,1009.0,0.5085685483870968,880,880.0,0.5965909090909091,0.5203171456888008,0.5558496559025939,0.605891082818734,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,validation,1,975,975.0,0.49143145161290325,1104,1104.0,0.5615942028985508,0.6358974358974359,0.5964405964405964,0.6058910828187339,True,True,,1051,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,development_evaluation,0,959,959.0,0.4865550481988838,802,802.0,0.5448877805486284,0.4556830031282586,0.49630891538898353,0.5701034921917182,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,development_evaluation,1,1012,1012.0,0.5134449518011162,1169,1169.0,0.553464499572284,0.6393280632411067,0.5933058230169647,0.5701034921917182,True,True,,1051,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,880,103979.0,0.594043027919099,0.5212533439100752,0.5552728809140679,0.6068075528952603,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1104,129750.0,0.562766859344894,0.6336804651566432,0.5961221324189729,0.6068075528952602,True,True,,1051,True
