seed,comparison,left,right,role,target,selector,split,metric,left_candidate,right_candidate,left_value,right_value,left_minus_right
0,historical_warmup,W_historical,I,transfer,civilian_at_work,primary,development_evaluation_person_weighted,log_loss,mlp,mlp,0.25623684217229686,0.27051575448373727,-0.014278912311440406
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,validation,log_loss,logistic,logistic,0.30092104846335427,0.3209863819368335,-0.02006533347347922
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,development_evaluation,log_loss,logistic,logistic,0.27371996332193693,0.2911958060740804,-0.017475842752143478
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.29601573723069663,0.31167141136007526,-0.015655674129378627
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.2567099556339243,0.27231717949192363,-0.015607223857999342
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,validation,log_loss,mlp,mlp,0.3001006345980242,0.31112292937200947,-0.011022294773985253
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,development_evaluation,log_loss,mlp,mlp,0.27193229279811426,0.28652439693889825,-0.01459210414078399
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,validation_person_weighted,log_loss,mlp,mlp,0.29514739470547213,0.3031995072936149,-0.008052112588142757
0,historical_warmup,W_historical,I,transfer,civilian_at_work,family:mlp,development_evaluation_person_weighted,log_loss,mlp,mlp,0.25623684217229686,0.27051575448373727,-0.014278912311440406
0,historical_warmup,W_historical,I,transfer,public_coverage,primary,validation,log_loss,mlp,mlp,0.4784554503286502,0.4924349287885092,-0.013979478459858974
0,historical_warmup,W_historical,I,transfer,public_coverage,primary,development_evaluation,log_loss,mlp,mlp,0.507909959941632,0.5153072572411478,-0.00739729729951577
0,historical_warmup,W_historical,I,transfer,public_coverage,primary,validation_person_weighted,log_loss,mlp,mlp,0.4960832269535864,0.5050255239035807,-0.008942296949994266
0,historical_warmup,W_historical,I,transfer,public_coverage,primary,development_evaluation_person_weighted,log_loss,mlp,mlp,0.5148578493020489,0.5227835939600485,-0.007925744657999556
0,historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,validation,log_loss,logistic,logistic,0.47894017624314555,0.4999366397406053,-0.02099646349745976
0,historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,development_evaluation,log_loss,logistic,logistic,0.504036410101404,0.5206554718584375,-0.016619061757033537
0,historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.4973611926486236,0.5119351594813026,-0.01457396683267903
0,historical_warmup,W_historical,I,transfer,public_coverage,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.5109030019794505,0.5290315674104525,-0.018128565431002053
0,historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,validation,log_loss,mlp,mlp,0.4784554503286502,0.4924349287885092,-0.013979478459858974
0,historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,development_evaluation,log_loss,mlp,mlp,0.507909959941632,0.5153072572411478,-0.00739729729951577
0,historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,validation_person_weighted,log_loss,mlp,mlp,0.4960832269535864,0.5050255239035807,-0.008942296949994266
0,historical_warmup,W_historical,I,transfer,public_coverage,family:mlp,development_evaluation_person_weighted,log_loss,mlp,mlp,0.5148578493020489,0.5227835939600485,-0.007925744657999556
0,warmup,beta_0p1_W,I,transfer,same_residence,primary,validation,log_loss,mlp,logistic,0.5074515666855557,0.5130830975549535,-0.005631530869397827
0,warmup,beta_0p1_W,I,transfer,same_residence,primary,development_evaluation,log_loss,mlp,logistic,0.49622081458350253,0.4962003884374288,2.0426146073726503e-05
0,warmup,beta_0p1_W,I,transfer,same_residence,primary,validation_person_weighted,log_loss,mlp,logistic,0.47292235583994835,0.48001782688773353,-0.0070954710477851846
0,warmup,beta_0p1_W,I,transfer,same_residence,primary,development_evaluation_person_weighted,log_loss,mlp,logistic,0.48031092863534414,0.48496946857779744,-0.004658539942453299
0,warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,validation,log_loss,logistic,logistic,0.5088938219029328,0.5130830975549535,-0.004189275652020763
0,warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,development_evaluation,log_loss,logistic,logistic,0.4961582513961504,0.4962003884374288,-4.213704127842277e-05
0,warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.4739707841791377,0.48001782688773353,-0.006047042708595851
0,warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.48162308668280673,0.48496946857779744,-0.003346381894990702
0,warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,validation,log_loss,mlp,mlp,0.5074515666855557,0.5152488683337947,-0.007797301648238997
0,warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,development_evaluation,log_loss,mlp,mlp,0.49622081458350253,0.4981399717590001,-0.0019191571754975656
0,warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,validation_person_weighted,log_loss,mlp,mlp,0.47292235583994835,0.4823905035593601,-0.009468147719411735
0,warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,development_evaluation_person_weighted,log_loss,mlp,mlp,0.48031092863534414,0.4871744255592985,-0.006863496923954382
0,warmup,beta_0p1_W,I,transfer,commute_over20,primary,validation,log_loss,logistic,mlp,0.6720597782011103,0.6808750842154714,-0.00881530601436109
0,warmup,beta_0p1_W,I,transfer,commute_over20,primary,development_evaluation,log_loss,logistic,mlp,0.6894484366669001,0.6895052151132907,-5.6778446390515214e-05
0,warmup,beta_0p1_W,I,transfer,commute_over20,primary,validation_person_weighted,log_loss,logistic,mlp,0.6720005442879861,0.6784161601652429,-0.006415615877256808
0,warmup,beta_0p1_W,I,transfer,commute_over20,primary,development_evaluation_person_weighted,log_loss,logistic,mlp,0.6889254008923299,0.688463961479279,0.0004614394130508792
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,validation,log_loss,logistic,logistic,0.6720597782011103,0.682406213293728,-0.010346435092617678
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,development_evaluation,log_loss,logistic,logistic,0.6894484366669001,0.6895007677728834,-5.233110598323876e-05
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.6720005442879861,0.6810246502284791,-0.009024105940493077
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.6889254008923299,0.6905520863548475,-0.001626685462517652
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,validation,log_loss,mlp,mlp,0.6753962202798248,0.6808750842154714,-0.005478863935646561
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,development_evaluation,log_loss,mlp,mlp,0.6891178739339562,0.6895052151132907,-0.0003873411793344772
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,validation_person_weighted,log_loss,mlp,mlp,0.6748745179712479,0.6784161601652429,-0.0035416421939949982
0,warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,development_evaluation_person_weighted,log_loss,mlp,mlp,0.6886449557451771,0.688463961479279,0.00018099426589812673
0,warmup,beta_0p1_W,I,transfer,income_binary,primary,validation,log_loss,logistic,mlp,0.289902464124426,0.30781521527148725,-0.017912751147061257
0,warmup,beta_0p1_W,I,transfer,income_binary,primary,development_evaluation,log_loss,logistic,mlp,0.2916066646907306,0.2996246808517992,-0.00801801616106862
0,warmup,beta_0p1_W,I,transfer,income_binary,primary,validation_person_weighted,log_loss,logistic,mlp,0.27561418492773204,0.29482124625693107,-0.019207061329199027
0,warmup,beta_0p1_W,I,transfer,income_binary,primary,development_evaluation_person_weighted,log_loss,logistic,mlp,0.3001471064638315,0.3078177959333806,-0.007670689469549075
0,warmup,beta_0p1_W,I,transfer,income_binary,family:logistic,validation,log_loss,logistic,logistic,0.289902464124426,0.3108546997637713,-0.020952235639345285
