seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,audit,beta_0p1_C_warmup_only,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6588943782429739,1e-12,0.5964769152833901,0.5955092515905364,0.5955092515905364,0.6394748529324785,0.6394748529324785,0.6394748529324785
0,audit,beta_0p1_C_warmup_only,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6624975354921746,1e-12,0.5938989827647609,0.5928533083320162,0.5928533083320162,0.6317534419496962,0.6317534419496962,0.6317534419496962
0,audit,beta_0p1_C_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6575388065157316,1e-12,0.5953098827470686,0.5938358910014543,0.5938358910014543,0.6423624530604835,0.6423624530604835,0.6423624530604835
0,audit,beta_0p1_C_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6591140323990431,1e-12,0.5895372233400402,0.5881308210938795,0.5881308210938795,0.6368528816440606,0.6368528816440606,0.6368528816440606
0,audit,beta_0p1_C_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6544952916731606,1e-12,0.6043554068541404,0.601284789357265,0.601284789357265,0.6460435570426821,0.6460435570426821,0.6460435570426821
0,audit,beta_0p1_C_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6635564225692117,1e-12,0.5899246126635163,0.5878041550284374,0.5878041550284374,0.6284536055950221,0.6284536055950221,0.6284536055950221
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6692407053817317,1e-12,0.6107202680067002,0.6103741499655762,0.6103741499655762,0.6541669887345161,0.6541671010837659,0.6541671010837659
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6721280382594653,1e-12,0.5928906773977196,0.5928808877235696,0.5928808877235696,0.644826609737299,0.644826609737299,0.644826609737299
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6717822673286175,1e-12,0.6067734410894997,0.6056221255507597,0.6056221255507597,0.6485593475641634,0.6485593785214812,0.6485593785214812
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6753373503369875,1e-12,0.591750189291347,0.5912042950860653,0.5912042950860653,0.6342973921281819,0.6342973921281819,0.6342973921281819
