release,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,log_loss,3,3,True,0.6759742536661902,0.006544189468851276
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,auroc,3,3,True,0.6030561018242606,0.02359594033430576
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,macro_auroc,3,3,True,0.6030561018242607,0.0235959403343057
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,accuracy,3,3,True,0.5763634834133371,0.02105283341709729
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,balanced_accuracy,3,3,True,0.5758085208367801,0.01898260494646159
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,observed_balanced_accuracy,3,3,True,0.5758085208367801,0.01898260494646159
beta_0p1_C_warmup_only,transfer,commute_over20,primary,validation_person_weighted,observed_macro_auroc,3,3,True,0.6030561018242607,0.0235959403343057
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6902849924556517,0.004296533269292731
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,auroc,3,3,True,0.5607974667745492,0.01159233302252284
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,macro_auroc,3,3,True,0.5607974667745492,0.01159233302252284
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,accuracy,3,3,True,0.546264133486985,0.00769841577537005
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,balanced_accuracy,3,3,True,0.542731653897097,0.0079256108495563
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,observed_balanced_accuracy,3,3,True,0.542731653897097,0.0079256108495563
beta_0p1_C_warmup_only,transfer,commute_over20,primary,development_evaluation_person_weighted,observed_macro_auroc,3,3,True,0.5607974667745492,0.01159233302252284
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,log_loss,3,3,True,0.2989236950676198,0.005682127454882989
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,auroc,3,3,True,0.8984182187682088,0.002663774474340137
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,macro_auroc,3,3,True,0.8984182187682088,0.002663774474340137
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,accuracy,3,3,True,0.8625526510285453,0.00469363444588358
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,balanced_accuracy,3,3,True,0.7400723434245943,0.008464755293319035
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,observed_balanced_accuracy,3,3,True,0.7400723434245943,0.008464755293319035
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation,observed_macro_auroc,3,3,True,0.8984182187682088,0.002663774474340137
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,log_loss,3,3,True,0.2907428986135749,0.00956995462846746
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,auroc,3,3,True,0.9045351397504249,0.008385647671969506
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,macro_auroc,3,3,True,0.9045351397504249,0.008385647671969506
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,accuracy,3,3,True,0.870735876415279,0.006900586830552165
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,balanced_accuracy,3,3,True,0.7431837182037633,0.01481557285834615
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,observed_balanced_accuracy,3,3,True,0.7431837182037633,0.01481557285834615
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation,observed_macro_auroc,3,3,True,0.9045351397504249,0.008385647671969506
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,log_loss,3,3,True,0.2965116557964324,0.016460207742259286
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,auroc,3,3,True,0.8973397160519836,0.007229144649994076
