seed,release,target,selector,split,loss_120,candidate_120,loss_360,candidate_360,loss_360_minus_120
0,beta_0p1_D_warmup_only,SEX,candidate:catchup,validation,0.6653721445152704,catchup,0.6653721445152704,catchup,0.0
0,beta_0p1_D_warmup_only,SEX,candidate:catchup,development_evaluation,0.661470840855762,catchup,0.661470840855762,catchup,0.0
0,beta_0p1_D_warmup_only,SEX,candidate:catchup,validation_person_weighted,0.6630109366563303,catchup,0.6630109366563303,catchup,0.0
0,beta_0p1_D_warmup_only,SEX,candidate:catchup,development_evaluation_person_weighted,0.6689148499355958,catchup,0.6689148499355958,catchup,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_0,validation,1.2350713966051545,mlp_0,1.2350713966051545,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_0,development_evaluation,1.227067327568733,mlp_0,1.227067327568733,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_0,validation_person_weighted,1.2394844975039898,mlp_0,1.2394844975039898,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_0,development_evaluation_person_weighted,1.2034047509873833,mlp_0,1.2034047509873833,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,family:mlp,validation,1.2350713966051545,mlp_0,1.2350713966051545,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,family:mlp,development_evaluation,1.227067327568733,mlp_0,1.227067327568733,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,family:mlp,validation_person_weighted,1.2394844975039898,mlp_0,1.2394844975039898,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,family:mlp,development_evaluation_person_weighted,1.2034047509873833,mlp_0,1.2034047509873833,mlp_0,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_1,validation,1.2445517392475614,mlp_1,1.2445517392475614,mlp_1,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_1,development_evaluation,1.2313361007771202,mlp_1,1.2313361007771202,mlp_1,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_1,validation_person_weighted,1.2452790466105603,mlp_1,1.2452790466105603,mlp_1,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:mlp_1,development_evaluation_person_weighted,1.2098728491311055,mlp_1,1.2098728491311055,mlp_1,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:catchup,validation,1.2251224298821535,catchup,1.2251224298821535,catchup,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:catchup,development_evaluation,1.2288024393360075,catchup,1.2288024393360075,catchup,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:catchup,validation_person_weighted,1.2361472720484836,catchup,1.2361472720484836,catchup,0.0
0,beta_0p1_D_warmup_only,RAC1P,candidate:catchup,development_evaluation_person_weighted,1.2087831583064914,catchup,1.2087831583064914,catchup,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_0,validation,0.6517433484550078,mlp_0,0.6517433484550078,mlp_0,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_0,development_evaluation,0.6563121131426635,mlp_0,0.6563121131426635,mlp_0,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_0,validation_person_weighted,0.6521134017341097,mlp_0,0.6521134017341097,mlp_0,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_0,development_evaluation_person_weighted,0.6591021789055344,mlp_0,0.6591021789055344,mlp_0,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_1,validation,0.6511135593664433,mlp_1,0.6511135593664433,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_1,development_evaluation,0.661303967714844,mlp_1,0.661303967714844,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_1,validation_person_weighted,0.6488467573437072,mlp_1,0.6488467573437072,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,candidate:mlp_1,development_evaluation_person_weighted,0.6631331947143986,mlp_1,0.6631331947143986,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,family:mlp,validation,0.6511135593664433,mlp_1,0.6511135593664433,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,family:mlp,development_evaluation,0.661303967714844,mlp_1,0.661303967714844,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,family:mlp,validation_person_weighted,0.6488467573437072,mlp_1,0.6488467573437072,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,family:mlp,development_evaluation_person_weighted,0.6631331947143986,mlp_1,0.6631331947143986,mlp_1,0.0
0,beta_0p1_C_persistent,SEX,candidate:catchup,validation,0.6584963064315105,catchup,0.6584963064315105,catchup,0.0
0,beta_0p1_C_persistent,SEX,candidate:catchup,development_evaluation,0.6732016049677328,catchup,0.6732016049677328,catchup,0.0
0,beta_0p1_C_persistent,SEX,candidate:catchup,validation_person_weighted,0.6593657648782397,catchup,0.6593657648782397,catchup,0.0
0,beta_0p1_C_persistent,SEX,candidate:catchup,development_evaluation_person_weighted,0.6702960993757495,catchup,0.6702960993757495,catchup,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_0,validation,1.2238893955957721,mlp_0,1.2238893955957721,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_0,development_evaluation,1.217076850046049,mlp_0,1.217076850046049,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_0,validation_person_weighted,1.2261601717289206,mlp_0,1.2261601717289206,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_0,development_evaluation_person_weighted,1.1934985039314008,mlp_0,1.1934985039314008,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,family:mlp,validation,1.2238893955957721,mlp_0,1.2238893955957721,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,family:mlp,development_evaluation,1.217076850046049,mlp_0,1.217076850046049,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,family:mlp,validation_person_weighted,1.2261601717289206,mlp_0,1.2261601717289206,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,family:mlp,development_evaluation_person_weighted,1.1934985039314008,mlp_0,1.1934985039314008,mlp_0,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_1,validation,1.2243227798106846,mlp_1,1.2243227798106846,mlp_1,0.0
0,beta_0p1_C_persistent,RAC1P,candidate:mlp_1,development_evaluation,1.2168883861847748,mlp_1,1.2168883861847748,mlp_1,0.0
