seed,release,target,split,saved_log_loss,saved_candidate,fresh_log_loss,fresh_candidate,catchup_log_loss,catchup_candidate,inclusive_log_loss,inclusive_candidate,catchup_minus_saved,catchup_minus_fresh
0,beta_0p1_C_warmup_only,SEX,validation,0.6880056599552267,saved_adversary,0.6575388065157316,mlp_1,0.6692407053817317,catchup,0.6575388065157316,mlp_1,-0.01876495457349492,0.011701898866000149
0,beta_0p1_C_warmup_only,SEX,development_evaluation,0.6969357622380464,saved_adversary,0.6591140323990431,mlp_1,0.6721280382594653,catchup,0.6591140323990431,mlp_1,-0.02480772397858111,0.013014005860422229
0,beta_0p1_C_warmup_only,SEX,validation_person_weighted,0.6893812997471884,saved_adversary,0.6544952916731606,mlp_1,0.6717822673286175,catchup,0.6544952916731606,mlp_1,-0.01759903241857097,0.017286975655456893
0,beta_0p1_C_warmup_only,SEX,development_evaluation_person_weighted,0.6987335912202449,saved_adversary,0.6635564225692117,mlp_1,0.6753373503369875,catchup,0.6635564225692117,mlp_1,-0.023396240883257424,0.01178092776777584
0,beta_0p1_C_warmup_only,RAC1P,validation,1.241440874295402,saved_adversary,1.2305734673052708,mlp_0,1.2306508025529677,catchup,1.2305734673052708,mlp_0,-0.010790071742434293,7.733524769681921e-05
0,beta_0p1_C_warmup_only,RAC1P,development_evaluation,1.2582408194560715,saved_adversary,1.2245429034285846,mlp_0,1.2363298757598495,catchup,1.2245429034285846,mlp_0,-0.02191094369622193,0.011786972331264911
0,beta_0p1_C_warmup_only,RAC1P,validation_person_weighted,1.2611653301722467,saved_adversary,1.2357398549391763,mlp_0,1.2359575633231419,catchup,1.2357398549391763,mlp_0,-0.025207766849104862,0.0002177083839656202
0,beta_0p1_C_warmup_only,RAC1P,development_evaluation_person_weighted,1.246230072139076,saved_adversary,1.2017402014871386,mlp_0,1.2176829462179395,catchup,1.2017402014871386,mlp_0,-0.028547125921136507,0.01594274473080093
0,beta_0p1_D_warmup_only,SEX,validation,0.6764563312507288,saved_adversary,0.6636604512511826,mlp_1,0.6653721445152704,catchup,0.6636604512511826,mlp_1,-0.011084186735458412,0.0017116932640878213
0,beta_0p1_D_warmup_only,SEX,development_evaluation,0.6818414972008974,saved_adversary,0.6644749873136757,mlp_1,0.661470840855762,catchup,0.6644749873136757,mlp_1,-0.02037065634513535,-0.0030041464579136923
0,beta_0p1_D_warmup_only,SEX,validation_person_weighted,0.6718283740459962,saved_adversary,0.6604471638809012,mlp_1,0.6630109366563303,catchup,0.6604471638809012,mlp_1,-0.008817437389665894,0.002563772775429074
0,beta_0p1_D_warmup_only,SEX,development_evaluation_person_weighted,0.6851762471752763,saved_adversary,0.6709308167566007,mlp_1,0.6689148499355958,catchup,0.6709308167566007,mlp_1,-0.016261397239680453,-0.002015966821004911
0,beta_0p1_D_warmup_only,RAC1P,validation,1.230507811543967,saved_adversary,1.2350713966051545,mlp_0,1.2251224298821535,catchup,1.2251224298821535,catchup,-0.00538538166181346,-0.009948966723001051
0,beta_0p1_D_warmup_only,RAC1P,development_evaluation,1.2474116709954788,saved_adversary,1.227067327568733,mlp_0,1.2288024393360075,catchup,1.2288024393360075,catchup,-0.01860923165947126,0.0017351117672745886
0,beta_0p1_D_warmup_only,RAC1P,validation_person_weighted,1.2532339384959308,saved_adversary,1.2394844975039898,mlp_0,1.2361472720484836,catchup,1.2361472720484836,catchup,-0.017086666447447163,-0.0033372254555061875
0,beta_0p1_D_warmup_only,RAC1P,development_evaluation_person_weighted,1.2297761336005728,saved_adversary,1.2034047509873833,mlp_0,1.2087831583064914,catchup,1.2087831583064914,catchup,-0.020992975294081395,0.005378407319108103
0,beta_0p1_C_persistent,SEX,validation,0.6786909861813932,saved_adversary,0.6511135593664433,mlp_1,0.6584963064315105,catchup,0.6511135593664433,mlp_1,-0.02019467974988276,0.007382747065067141
0,beta_0p1_C_persistent,SEX,development_evaluation,0.6924918226519805,saved_adversary,0.661303967714844,mlp_1,0.6732016049677328,catchup,0.661303967714844,mlp_1,-0.019290217684247657,0.011897637252888837
0,beta_0p1_C_persistent,SEX,validation_person_weighted,0.6816248643734905,saved_adversary,0.6488467573437072,mlp_1,0.6593657648782397,catchup,0.6488467573437072,mlp_1,-0.022259099495250734,0.010519007534532498
0,beta_0p1_C_persistent,SEX,development_evaluation_person_weighted,0.6864940448325835,saved_adversary,0.6631331947143986,mlp_1,0.6702960993757495,catchup,0.6631331947143986,mlp_1,-0.01619794545683395,0.007162904661350944
0,beta_0p1_C_persistent,RAC1P,validation,1.2246397064792898,saved_adversary,1.2238893955957721,mlp_0,1.2189194180827938,catchup,1.2189194180827938,catchup,-0.005720288396495965,-0.004969977512978341
0,beta_0p1_C_persistent,RAC1P,development_evaluation,1.2402751979478965,saved_adversary,1.217076850046049,mlp_0,1.2245152693212373,catchup,1.2245152693212373,catchup,-0.015759928626659203,0.0074384192751884015
