family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
primary,primary|R_vs_D|D4|attack:A/SEX|U,R_vs_D,R4,P,D4,attack:A/SEX,U,guard,0.001,-0.0004682081747291777,0.0004496122194546461,-0.0018817801295199618,0.0009453637800616065,True,True,False,False,0.0,0.0,-0.0014046245241875332
primary,primary|R_vs_D|D4|attack:A/SEX|PWGTP,R_vs_D,R4,P,D4,attack:A/SEX,PWGTP,guard,0.001,-0.0007714178766958123,0.000568186681696667,-0.0025577856033253276,0.0010149498499337026,False,True,False,False,0.0,0.0,-0.002314253630087437
primary,primary|R_vs_D|D4|attack:A/RAC1P|U,R_vs_D,R4,P,D4,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|R_vs_D|D4|attack:A/RAC1P|PWGTP,R_vs_D,R4,P,D4,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|R_vs_D|D4|attack:AB/SEX|U,R_vs_D,R4,P,D4,attack:AB/SEX,U,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
primary,primary|R_vs_D|D4|attack:AB/SEX|PWGTP,R_vs_D,R4,P,D4,attack:AB/SEX,PWGTP,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
primary,primary|R_vs_D|D4|attack:AB/RAC1P|U,R_vs_D,R4,P,D4,attack:AB/RAC1P,U,guard,0.001,-0.001883392895369019,0.000804256858004569,-0.0044119606026755,0.000645174811937462,True,True,False,False,-0.005650178686107057,0.0,0.0
primary,primary|R_vs_D|D4|attack:AB/RAC1P|PWGTP,R_vs_D,R4,P,D4,attack:AB/RAC1P,PWGTP,guard,0.001,-0.001798105785275842,0.0009454453798683703,-0.0047705674220825355,0.0011743558515308519,False,True,False,False,-0.0053943173558275255,0.0,0.0
secondary,secondary|NM4PF|D17|utility:A/same_residence|U,NM4PF,NM4PF,P,D17,utility:A/same_residence,U,task,0.001,0.0028038224239370995,0.001425539623045155,-0.0021581337486266086,0.007765778596500808,False,False,False,False,0.0034290289766910668,0.0023440924849590953,0.002638345810161136
secondary,secondary|NM4PF|D17|utility:A/same_residence|PWGTP,NM4PF,NM4PF,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0024059274757178514,0.0016425013330423491,-0.0033112195584164956,0.008123074509852198,False,False,False,False,0.004105435652076412,0.0016172608013220872,0.001495085973755055
