seed,role,release,target,family,selected,effective_family,fallback_reason,fit_rows,fit_support,fit_coverage_complete,split,eligible_n,missing_or_inapplicable,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,audit,A_binary_bank,SEX,mlp,False,mlp,,2993,"[1512,1481]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.689018662460677,1e-12,0.5415828303152247,0.5396041476081742,0.5396041476081742,0.5539952602879843,0.5539952602879843,0.5539952602879843
0,audit,A_binary_bank,SEX,mlp,False,mlp,,2993,"[1512,1481]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6890941296335805,1e-12,0.5427020329741038,0.5393372474142761,0.5393372474142761,0.5534916407604453,0.5534916407604453,0.5534916407604453
0,audit,A_binary_bank,SEX,histgb,True,histgb,,2993,"[1512,1481]",True,validation,2985,0,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6827790628750376,1e-12,0.5685092127303183,0.5685979802301273,0.5685979802301273,0.6009323190143465,0.6009323190143465,0.6009323190143465
0,audit,A_binary_bank,SEX,histgb,True,histgb,,2993,"[1512,1481]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.7019178113902056,1e-12,0.54560697518444,0.5461289050400859,0.5461289050400859,0.5672374610126272,0.5672374610126272,0.5672374610126272
0,audit,A_binary_bank,SEX,histgb,True,histgb,,2993,"[1512,1481]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.7074873864678665,1e-12,0.5370966149020923,0.5376196237691545,0.5376196237691545,0.5514080130624558,0.5514080130624559,0.5514080130624559
0,audit,A_binary_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2567417322580963,1e-12,0.5819095477386935,,0.125,,,0.5163155570213201
0,audit,A_binary_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",False,2982.0,"[1685,130,22,0,9,486,7,465,178]","[1685.0,130.0,22.0,0.0,9.0,486.0,7.0,465.0,178.0]","[0.5650570087189806,0.043594902749832326,0.007377598926894702,0.0,0.0030181086519114686,0.16297786720321933,0.002347417840375587,0.15593561368209255,0.059691482226693494]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2594517056191556,1e-12,0.5650570087189806,,0.125,,,0.5609950748779413
0,audit,A_binary_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test_person_weighted,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",True,334141.0,"[1685,130,22,0,9,486,7,465,178]","[192470.0,16914.0,1406.0,0.0,1091.0,48866.0,581.0,56173.0,16640.0]","[0.5760143173091599,0.05061934931660586,0.004207804489721405,0.0,0.0032650886901038783,0.14624365163209543,0.0017387869192945493,0.16811166543465184,0.04979933620836713]",False,False,"[true,true,true,false,true,true,true,true,true]",1.22878094935183,1e-12,0.5760143173091599,,0.125,,,0.5652197542292485
0,audit,A_binary_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2536646396753948,1e-12,0.5819095477386935,,0.125,,,0.5294473204992121
0,audit,A_binary_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",False,2982.0,"[1685,130,22,0,9,486,7,465,178]","[1685.0,130.0,22.0,0.0,9.0,486.0,7.0,465.0,178.0]","[0.5650570087189806,0.043594902749832326,0.007377598926894702,0.0,0.0030181086519114686,0.16297786720321933,0.002347417840375587,0.15593561368209255,0.059691482226693494]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2586800818677069,1e-12,0.5650570087189806,,0.125,,,0.5467258193372566
