attribute,method,delta,r_squared,adj_pass,allowed_task_acc
race,additive,0.054286,0.196806,False,0.807437
race,sequential,0.051829,0.203771,False,0.806906
sex,additive,0.231048,0.390505,False,0.807437
sex,sequential,0.219826,0.363083,False,0.806906
age_group,additive,0.279187,0.299399,False,0.807437
age_group,sequential,0.273344,0.288763,False,0.806906
marital_status,additive,0.393732,0.45631,False,0.807437
marital_status,sequential,0.388685,0.476667,False,0.806906
