purpose,attribute,full_r2,shifted_r2,delta_r2,full_linear_bound,shifted_linear_bound,full_nonlinear_bound,shifted_nonlinear_bound,full_empirical_acc,shifted_empirical_acc,full_majority,shifted_majority,bound_holds
income_prediction,race,0.0,0.000521,0.000521,0.8612,0.902,0.9253,0.9904,0.8645,0.8899,0.8612,0.8858,True
income_prediction,sex,0.0,0.0,0.0,0.6738,0.6952,0.7382,0.797,0.6761,0.6986,0.6738,0.6952,True
employment_analysis,race,0.0,0.0,0.0,0.8612,0.8858,0.9272,0.9946,0.8641,0.8907,0.8612,0.8858,True
employment_analysis,age_group,0.0,0.021128,0.021128,0.5173,0.7316,0.6022,0.7356,0.5208,0.5966,0.5173,0.5885,True
employment_analysis,marital_status,0.0,0.0,0.0,0.523,0.554,0.601,0.6708,0.5562,0.5637,0.523,0.554,True
education_assessment,sex,0.02623,0.002219,-0.024011,0.7812,0.7258,0.7383,0.7974,0.6791,0.7009,0.6738,0.6952,True
education_assessment,race,0.01026,0.02487,0.01461,0.9395,0.9979,0.9256,0.9907,0.8639,0.8897,0.8612,0.8858,True
education_assessment,income,0.041371,0.004053,-0.037318,0.8781,0.566,0.8625,0.6654,0.7703,0.5639,0.7543,0.521,True
