purpose,attribute,linear_r2,linear_certified,linear_bound,nonlinear_bound,nonlinear_sigma,empirical_best_acc,majority_proportion,num_classes,certified
income_prediction,race,0.0,True,0.8613,0.9254,0.1,0.8645,0.8613,5,False
income_prediction,sex,0.0,True,0.6759,0.7402,0.1,0.6761,0.6759,2,False
employment_analysis,race,0.0,True,0.8613,0.9272,0.1,0.8641,0.8613,5,False
employment_analysis,age_group,0.0,True,0.5196,0.6044,0.1,0.5208,0.5196,4,False
employment_analysis,marital_status,0.0,True,0.5215,0.5995,0.1,0.556,0.5215,2,False
education_assessment,sex,0.02623,False,0.7831,0.7403,0.1,0.6791,0.6759,2,False
education_assessment,race,0.01026,False,0.9396,0.9257,0.1,0.8639,0.8613,5,False
education_assessment,income,0.041371,False,0.8769,0.8612,0.1,0.7702,0.7528,2,False
