purpose,attribute,linear_r2,linear_bound,mi_nats,mi_bits,entropy_z_bits,mi_fraction,empirical_best_acc,majority_proportion,num_classes,certified
income_prediction,race,0.0,0.861319,9.2e-05,0.000132,0.768883,0.000172,0.864475,0.861319,5,False
income_prediction,sex,0.0,0.675858,0.001567,0.002261,0.911026,0.002482,0.676096,0.675858,2,False
employment_analysis,race,0.0,0.861319,0.000435,0.000628,0.768883,0.000817,0.864077,0.861319,5,False
employment_analysis,age_group,0.0,0.519551,0.001515,0.002186,1.613377,0.001355,0.52085,0.519551,4,False
employment_analysis,marital_status,0.0,0.521541,0.003619,0.005221,0.998468,0.005229,0.556175,0.521541,2,False
education_assessment,sex,0.02623,0.783061,0.001399,0.002018,0.911026,0.002215,0.679084,0.675858,2,False
education_assessment,race,0.01026,0.939599,0.0,0.0,0.768883,0.0,0.863944,0.861319,5,False
education_assessment,income,0.041371,0.876897,0.011171,0.016117,0.804365,0.020037,0.770385,0.752812,2,False
