dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,education_level_acc,income_acc,occupation_group_acc
adult,Standard,1,employment_analysis,race,0.915538,0.861319,0.054219,0.287973,False,0,8,231.7,1.0,0.851129,1.0
adult,Standard,1,employment_analysis,age_group,0.817862,0.519551,0.298311,0.315712,False,0,8,231.7,1.0,0.851129,1.0
adult,Standard,1,employment_analysis,marital_status,0.971912,0.521541,0.450372,0.764006,False,0,8,231.7,1.0,0.851129,1.0
adult,Standard,1,education_assessment,sex,0.938579,0.675858,0.262721,0.589659,False,0,8,231.7,1.0,0.851129,1.0
adult,Standard,1,education_assessment,race,0.913147,0.861319,0.051829,0.287973,False,0,8,231.7,1.0,0.851129,1.0
adult,Standard,1,education_assessment,income,0.851328,0.752812,0.098516,0.429701,False,0,8,231.7,1.0,0.851129,1.0
adult,LAFTR,1,income_prediction,race,0.86421,0.861319,0.002891,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,income_prediction,sex,0.680478,0.675858,0.00462,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,race,0.86421,0.861319,0.002891,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,age_group,0.526096,0.519551,0.006545,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,marital_status,0.550797,0.521541,0.029256,0.0,False,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,sex,0.680478,0.675858,0.00462,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,race,0.86421,0.861319,0.002891,0.0,True,6,8,223.7,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,income,0.777556,0.752812,0.024744,0.0,False,6,8,223.7,0.336454,0.756308,0.284263
adult,INLP,1,income_prediction,race,0.890571,0.861319,0.029252,1e-05,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,income_prediction,sex,0.878752,0.675858,0.202894,0.000495,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,race,0.88838,0.861319,0.027061,8e-06,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,age_group,0.733068,0.519551,0.213517,4.6e-05,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,marital_status,0.916667,0.521541,0.395126,0.000145,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,sex,0.75093,0.675858,0.075072,0.0,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,race,0.861222,0.861319,-9.7e-05,1e-06,True,1,8,2104.0,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,income,0.826959,0.752812,0.074147,6.1e-05,False,1,8,2104.0,0.32822,0.754316,0.28081
adult,LEACE,1,income_prediction,race,0.910159,0.861319,0.048841,0.206944,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,income_prediction,sex,0.94004,0.675858,0.264182,0.585383,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,race,0.9083,0.861319,0.046981,0.206944,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,age_group,0.815073,0.519551,0.295522,0.309335,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,marital_status,0.97158,0.521541,0.45004,0.76274,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,sex,0.932005,0.675858,0.256148,0.504296,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,race,0.910093,0.861319,0.048774,0.199525,False,0,8,1031.5,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,income,0.851527,0.752812,0.098715,0.42875,False,0,8,1031.5,1.0,0.847278,0.999867
adult,PCRL,1,income_prediction,race,0.864143,0.861319,0.002825,0.0,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,income_prediction,sex,0.677888,0.675858,0.002031,0.0,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,race,0.865073,0.861319,0.003754,0.027355,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,age_group,0.525299,0.519551,0.005748,0.002253,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,marital_status,0.553187,0.521541,0.031647,0.012241,False,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,sex,0.679416,0.675858,0.003558,0.018048,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,race,0.864608,0.861319,0.00329,0.0,True,6,8,230.2,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,income,0.781142,0.752812,0.02833,0.047886,False,6,8,230.2,0.34077,0.760757,0.283001
adult,Standard,2,income_prediction,race,0.923307,0.861319,0.061988,0.274647,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,income_prediction,sex,0.947211,0.675858,0.271353,0.58924,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,race,0.923838,0.861319,0.062519,0.274647,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,age_group,0.811819,0.519551,0.292268,0.316555,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,marital_status,0.971116,0.521541,0.449575,0.769377,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,sex,0.948008,0.675858,0.27215,0.58924,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,race,0.922709,0.861319,0.06139,0.274647,False,0,8,218.6,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,income,0.852258,0.752812,0.099445,0.43466,False,0,8,218.6,1.0,0.850996,0.999934
adult,LAFTR,2,income_prediction,race,0.863612,0.861319,0.002294,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,income_prediction,sex,0.681275,0.675858,0.005417,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,race,0.863612,0.861319,0.002294,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,age_group,0.526959,0.519551,0.007408,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,marital_status,0.551262,0.521541,0.029721,0.0,False,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,sex,0.681275,0.675858,0.005417,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,race,0.863612,0.861319,0.002294,0.0,True,6,8,225.9,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,income,0.777291,0.752812,0.024479,0.0,False,6,8,225.9,0.339973,0.757769,0.285989
adult,INLP,2,income_prediction,race,0.880943,0.861319,0.019624,8e-06,True,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,income_prediction,sex,0.87749,0.675858,0.201632,0.000411,False,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,race,0.879615,0.861319,0.018296,5e-06,True,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,age_group,0.728685,0.519551,0.209134,4.7e-05,False,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,marital_status,0.905777,0.521541,0.384236,0.000283,False,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,sex,0.761554,0.675858,0.085696,9e-06,False,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,race,0.863214,0.861319,0.001895,1e-06,True,3,8,2110.1,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,income,0.832072,0.752812,0.07926,8.2e-05,False,3,8,2110.1,0.32822,0.754316,0.28081
adult,LEACE,2,income_prediction,race,0.919323,0.861319,0.058004,0.18738,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,income_prediction,sex,0.948805,0.675858,0.272947,0.586697,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,race,0.919389,0.861319,0.05807,0.18738,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,age_group,0.807039,0.519551,0.287487,0.313256,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,marital_status,0.970186,0.521541,0.448645,0.758072,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,sex,0.945219,0.675858,0.269361,0.481932,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,race,0.922244,0.861319,0.060926,0.186282,False,0,8,1046.2,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,income,0.852191,0.752812,0.099379,0.433911,False,0,8,1046.2,1.0,0.848672,0.999801
adult,PCRL,2,income_prediction,race,0.862815,0.861319,0.001497,0.002765,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,income_prediction,sex,0.676361,0.675858,0.000504,0.0,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,race,0.864475,0.861319,0.003157,0.0,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,age_group,0.523174,0.519551,0.003623,0.0,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,marital_status,0.548871,0.521541,0.027331,0.0,False,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,sex,0.676826,0.675858,0.000968,0.016,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,race,0.863679,0.861319,0.00236,0.0,True,6,8,234.5,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,income,0.779017,0.752812,0.026205,0.013821,False,6,8,234.5,0.336255,0.766401,0.284927
