lambda_adv,K,val_pass_count,val_total_pairs,val_mean_delta,val_mean_r2,checkpoint_path,train_time_s,stopped_epoch,income_acc,error
25,10,8,8,-0.003462,0.000129,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=25_K=10,420.2,32,0.7479,
25,20,5,8,0.015007,0.004815,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=25_K=20,711.7,32,0.7588,
50,10,6,8,0.007611,0.002347,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=50_K=10,420.3,32,0.7585,
50,20,6,8,0.00946,0.001015,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=50_K=20,712.1,32,0.765,
100,10,6,8,0.008317,0.012675,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=100_K=10,420.0,32,0.7484,
100,20,6,8,0.008608,0.009729,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=100_K=20,711.2,32,0.7525,
200,10,6,8,0.007756,0.017688,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=200_K=10,420.4,32,0.76,
200,20,6,8,0.00946,0.014897,/home/ubuntu/PCRL/checkpoints/sweep_laftr_adult_lam=200_K=20,714.5,32,0.7535,
