attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
fnlwgt,occupation,additive,0.761261,0.506522,False,0.811089,0.535148,0.761261,0.341722,0.506522
fnlwgt,occupation,sequential,0.727463,0.477749,False,0.810226,0.513103,0.727463,0.348067,0.477749
fnlwgt,relationship,additive,0.535148,0.512353,False,0.811089,0.535148,0.496639,0.341722,0.512353
fnlwgt,relationship,sequential,0.513103,0.496816,False,0.810226,0.513103,0.460052,0.348067,0.496816
fnlwgt,race,additive,0.535148,0.341722,False,0.811089,0.535148,0.049571,0.341722,0.21558
fnlwgt,race,sequential,0.513103,0.348067,False,0.810226,0.513103,0.043329,0.348067,0.19853
fnlwgt,sex,additive,0.535148,0.422002,False,0.811089,0.535148,0.229853,0.341722,0.422002
fnlwgt,sex,sequential,0.513103,0.360951,False,0.810226,0.513103,0.192336,0.348067,0.360951
fnlwgt,capital-gain,additive,0.535148,0.341722,False,0.811089,0.535148,0.036702,0.341722,0.314019
fnlwgt,capital-gain,sequential,0.513103,0.348067,False,0.810226,0.513103,0.034378,0.348067,0.31588
fnlwgt,capital-loss,additive,0.535148,0.925432,False,0.811089,0.535148,0.046284,0.341722,0.925432
fnlwgt,capital-loss,sequential,0.513103,0.916256,False,0.810226,0.513103,0.046218,0.348067,0.916256
fnlwgt,hours-per-week,additive,0.535148,0.341722,False,0.811089,0.535148,0.355865,0.341722,0.258078
fnlwgt,hours-per-week,sequential,0.513103,0.348067,False,0.810226,0.513103,0.355002,0.348067,0.257777
fnlwgt,native-country,additive,0.535148,0.341722,False,0.811089,0.535148,0.028169,0.341722,0.23846
fnlwgt,native-country,sequential,0.513103,0.348067,False,0.810226,0.513103,0.026708,0.348067,0.250563
education,education-num,additive,0.553076,0.59761,False,0.811089,-0.136453,0.553076,0.59761,0.488937
education,education-num,sequential,0.543382,0.580144,False,0.810226,-0.136121,0.543382,0.580144,0.479732
education,marital-status,additive,0.440801,0.59761,False,0.811089,-0.136453,0.440801,0.59761,0.517585
